Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Tue, Dec  3, 2014 thru Mon, Dec  9, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA113SU346495CB96  Accord       2014  23404  23480  Chavez, Joy             Thu, Dec  5, 2014       D07-07-05 
 JA1X5SU236495CB98  Accord       2014  25050  27089  Caldwell, Wade          Sun, Dec  8, 2014       D07-07-04 
 JG148F116649821XX  Insight      2014  23772  24390  Schmidt, Phillip        Tue, Dec  3, 2014       D07-07-01 
 JA111S1326496XCB2  Accord       2014  22211  22480  Green, Francis          Sun, Dec  8, 2014       D07-07-02 
 JG148F110649X7654  Insight      2014  22381  24390  Schmidt, Phillip        Mon, Dec  9, 2014       D07-07-01 
 JB124HU56649X7656  Civic        2014  26370  28400  Patterson, Hilda        Sun, Dec  8, 2014       D07-07-08 
 JB121S12064971XC8  Civic        2014  16313  16455  Soto, Victor            Sun, Dec  8, 2014       D07-07-07 
 JD14AF4156495CBBX  CR-Z         2014  30798  33705  Patterson, Hilda        Fri, Dec  6, 2014       D07-07-08 
 JH152SU13649X7662  Odyssey      2014  29554  30375  Green, Francis          Wed, Dec  4, 2014       D07-07-02 
 JD136F1186496XCC4  CR-Z         2014  23172  24705  Schmidt, Phillip        Tue, Dec  3, 2014       D07-07-01 
 JE141F11764918776  Crosstour    2014  35842  37640  Meyer, Vincent          Sun, Dec  8, 2014       D07-07-03 
 JB127S1396495CBB8  Civic        2014  15887  16655  Mills, Naomi            Tue, Dec  3, 2014       D07-07-06 
 JD14AF4166496XCXX  CR-Z         2014  31317  33705  Green, Francis          Sun, Dec  8, 2014       D07-07-02 
 JB127S135649X7672  Civic        2014  15887  16655  Mills, Naomi            Wed, Dec  4, 2014       D07-07-06 
 JB127S13364929894  Civic        2014  16940  16655  Schmidt, Phillip        Tue, Dec  3, 2014       D07-07-01 
 JA111S13064982126  Accord       2014  21626  22480  Schmidt, Phillip        Sat, Dec  7, 2014       D07-07-01 
 JG148F11464982128  Insight      2014  23519  24390  Meyer, Vincent          Thu, Dec  5, 2014       D07-07-03 
 JC132FU176494BACX  CR-V         2014  29934  31995  Schmidt, Phillip        Mon, Dec  9, 2014       D07-07-01 
 JB121S1266494BAC2  Civic        2014  15619  16455  Patterson, Hilda        Wed, Dec  4, 2014       D07-07-08 
 JC133FU1664971X24  CR-V         2014  32801  33995  Patterson, Hilda        Fri, Dec  6, 2014       D07-07-08 
 JA113SU3664982136  Accord       2014  23282  23480  Mills, Naomi            Wed, Dec  4, 2014       D07-07-06 
 JE141F118649298A8  Crosstour    2014  34300  37640  Meyer, Vincent          Wed, Dec  4, 2014       D07-07-03 
 JB124HU536496XC2X  Civic        2014  27395  28400  Mills, Naomi            Sat, Dec  7, 2014       D07-07-06 
 JC131F11A6494BAX2  CR-V         2014  28227  30995  Schmidt, Phillip        Thu, Dec  5, 2014       D07-07-01 
 JH155FU116495CB14  Odyssey      2014  45314  47825  Green, Francis          Thu, Dec  5, 2014       D07-07-02 
 JH156S31164971X36  Odyssey      2014  27991  30375  Caldwell, Wade          Sat, Dec  7, 2014       D07-07-04 
 JC134F318649298B8  CR-V         2014  29441  31995  Caldwell, Wade          Sat, Dec  7, 2014       D07-07-04 
 JB127S13264971X4X  Civic        2014  16062  16655  Mills, Naomi            Mon, Dec  9, 2014       D07-07-06 
 JA1X1S124649X76A2  Accord       2014  22615  24089  Caldwell, Wade          Tue, Dec  3, 2014       D07-07-04 
 JC132FU166494BA14  CR-V         2014  31743  31995  Caldwell, Wade          Thu, Dec  5, 2014       D07-07-04 
 JB121S1236493A9X6  Civic        2014  16226  16455  Meyer, Vincent          Thu, Dec  5, 2014       D07-07-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
