Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Thu, Mar  5, 2010 thru Wed, Mar 11, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA115SU3621PX7762  Accord       2010  24333  25480  Lambert, Donna          Mon, Mar  9, 2010       D11-10-04 
 JG148F11321P711X4  Insight      2010  23170  24390  Bishop, Joann           Fri, Mar  6, 2010       D11-10-05 
 JH152SU1521P18876  Odyssey      2010  29160  30375  Mason, Felicia          Wed, Mar 11, 2010       D11-10-02 
 JG148F11421P3AA98  Insight      2010  22194  24390  Bishop, Joann           Fri, Mar  6, 2010       D11-10-05 
 JB122SU2321P2999X  Civic        2010  16478  17255  Burke, Derrick          Wed, Mar 11, 2010       D11-10-01 
 JA115SU3721P18882  Accord       2010  24460  25480  Bishop, Joann           Mon, Mar  9, 2010       D11-10-05 
 JB121S12921P71114  Civic        2010  14727  16455  Day, Jennifer           Tue, Mar 10, 2010       D11-10-06 
 JB121S12221P71116  Civic        2010  15138  16455  Bishop, Joann           Wed, Mar 11, 2010       D11-10-05 
 JC131F11921P29998  CR-V         2010  27585  30995  Burke, Derrick          Mon, Mar  9, 2010       D11-10-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU11XX9X7531  Odyssey     2007  31172  47825  Bishop, Joann           Fri, Mar  6, 2010       D11-10-05 
 JH153FU13W3518643  Odyssey     2006  27993  45825  Burke, Derrick          Thu, Mar  5, 2010       D11-10-01 
 JJ162FU14X3718645  Pilot       2007  27691  44970  Burke, Derrick          Mon, Mar  9, 2010       D11-10-01 
 JG148F116Y4429757  Insight     2008  17737  24390  Bishop, Joann           Sat, Mar  7, 2010       D11-10-05 
 JD139F313X1429759  CR-Z        2007  16617  25705  Day, Jennifer           Sun, Mar  8, 2010       D11-10-06 
 JH156S317T4418651  Odyssey     2004  11700  30375  Day, Jennifer           Tue, Mar 10, 2010       D11-10-06 
 JB127S136V28X7543  Civic       2005  7877   16655  Fields, Joan            Sun, Mar  8, 2010       D11-10-03 
 JF146S115T325CA95  Fit         2004  5960   16025  Burke, Derrick          Sat, Mar  7, 2010       D11-10-01 
 JH156S316V4682XC7  Odyssey     2005  15474  30375  Burke, Derrick          Fri, Mar  6, 2010       D11-10-01 
 JH153FU19Y1518659  Odyssey     2008  40812  45825  Fields, Joan            Mon, Mar  9, 2010       D11-10-03 
 JH154SU14WX93A881  Odyssey     2006  19020  32375  Burke, Derrick          Wed, Mar 11, 2010       D11-10-01 
 JC131F11AW456XBB3  CR-V        2006  18798  30995  Burke, Derrick          Mon, Mar  9, 2010       D11-10-01 
 JE142FU10X2P71CC5  Crosstour   2007  25129  38640  Fields, Joan            Mon, Mar  9, 2010       D11-10-03 
 JH155FU17W413A887  Odyssey     2006  29233  47825  Day, Jennifer           Sun, Mar  8, 2010       D11-10-06 
 JG148F111X1882XX9  Insight     2007  15752  24390  Burke, Derrick          Tue, Mar 10, 2010       D11-10-01 
 JB127S139X1629781  Civic       2007  10662  16655  Burke, Derrick          Mon, Mar  9, 2010       D11-10-01 
 JG149FU17X313A893  Insight     2007  16278  25190  Burke, Derrick          Sat, Mar  7, 2010       D11-10-01 
 JB128SU3013629785  Civic       2009  14138  17455  Fields, Joan            Fri, Mar  6, 2010       D11-10-03 
 JH151F112V455CAB7  Odyssey     2005  23060  44825  Bishop, Joann           Fri, Mar  6, 2010       D11-10-05 
