Dealer Name: Olson Honda
Address:     3074 Davison Highway
             Norbert, FL
Dealer ID:   15
Owner:       Olson, Howard
Date:        Tue, Jan 29, 2014 thru Mon, Feb  4, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1256X56X316  Civic        2014  16660  16455  Elliott, Jacqueline     Tue, Jan 29, 2014       D15-14-01 
 JH151F1116X55C2X8  Odyssey      2014  41152  44825  Woods, Tommy            Fri, Feb  1, 2014       D15-14-02 
 JD137FU106X57143X  CR-Z         2014  25008  25705  Hall, Willie            Tue, Jan 29, 2014       D15-14-08 
 JA1X1S1286X518BA2  Accord       2014  22739  24089  Murphy, Kelly           Sun, Feb  3, 2014       D15-14-07 
 JH152SU166X55C214  Odyssey      2014  29242  30375  Shelton, Monica         Thu, Jan 31, 2014       D15-14-06 
 JD138FU196X582546  CR-Z         2014  26173  27705  Bowman, Joan            Wed, Jan 30, 2014       D15-14-03 
 JB121S1266X571438  Civic        2014  16574  16455  Ramos, Maxine           Sat, Feb  2, 2014       D15-14-05 
 JE141F11A6X529CCX  Crosstour    2014  33915  37640  Gardner, Joan           Sat, Feb  2, 2014       D15-14-09 
 JB125G1686X55C222  Civic        2014  27199  28505  Gonzales, Natalie       Mon, Feb  4, 2014       D15-14-04 
 JH15AS1176X529CC4  Odyssey      2014  28761  29375  Bowman, Joan            Mon, Feb  4, 2014       D15-14-03 
 JD14AF4146X571446  CR-Z         2014  30798  33705  Gonzales, Natalie       Sun, Feb  3, 2014       D15-14-04 
 JB121S1256X582558  Civic        2014  16834  16455  Ramos, Maxine           Mon, Feb  4, 2014       D15-14-05 
 JB121S1276X55C36X  Civic        2014  16400  16455  Gonzales, Natalie       Wed, Jan 30, 2014       D15-14-04 
 JE143FU126X5X7B12  Crosstour    2014  39670  40640  Hall, Willie            Thu, Jan 31, 2014       D15-14-08 
 JK168F3106X518C24  Ridgeline    2014  45731  47750  Hall, Willie            Sun, Feb  3, 2014       D15-14-08 
 JA117S3306X5X7B16  Accord       2014  21820  23480  Shelton, Monica         Tue, Jan 29, 2014       D15-14-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB13ASU40346X7639  Civic       2003  15992  23855  Gardner, Joan           Sat, Feb  2, 2014       D15-14-09 
 JG149FU1722P6XCA1  Insight     2002  15757  25190  Ramos, Maxine           Mon, Feb  4, 2014       D15-14-05 
 JG149FU12151821C3  Insight     2001  12595  25190  Murphy, Kelly           Sun, Feb  3, 2014       D15-14-07 
 JD137FU132X271XB5  CR-Z        2002  15558  25705  Ramos, Maxine           Fri, Feb  1, 2014       D15-14-05 
 JG148F1173443A977  Insight     2003  22356  24390  Ramos, Maxine           Sat, Feb  2, 2014       D15-14-05 
 JB125G165419X7649  Civic       2004  21418  28505  Hall, Willie            Wed, Jan 30, 2014       D15-14-08 
 JH151F1112134BA91  Odyssey     2002  27030  44825  Bowman, Joan            Sun, Feb  3, 2014       D15-14-03 
 JB121S12142818763  Civic       2004  12573  16455  Gonzales, Natalie       Fri, Feb  1, 2014       D15-14-04 
 JC133FU1352329875  CR-V        2005  27916  33995  Gonzales, Natalie       Mon, Feb  4, 2014       D15-14-04 
 JA119S4361226XCB7  Accord      2001  16527  31480  Gonzales, Natalie       Fri, Feb  1, 2014       D15-14-04 
 JB127S1364144BA99  Civic       2004  12477  16655  Hall, Willie            Sun, Feb  3, 2014       D15-14-08 
 JG148F11532P4BAA1  Insight     2003  15897  24390  Shelton, Monica         Wed, Jan 30, 2014       D15-14-06 
 JH157F31152818773  Odyssey     2005  36912  45825  Hall, Willie            Thu, Jan 31, 2014       D15-14-08 
 JH154SU16438X7665  Odyssey     2004  23333  32375  Bowman, Joan            Wed, Jan 30, 2014       D15-14-03 
 JG149FU112383A997  Insight     2002  15249  25190  Hall, Willie            Wed, Jan 30, 2014       D15-14-08 
