Dealer Name: Your Honda
Address:     3145 Brooklin Ave
             West Junction, AL
Dealer ID:   6
Owner:       Frederick, Ted
Date:        Sat, Sep  9, 2012 thru Fri, Sep 15, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14743718624  Civic        2012  21389  23055  Rivera, Greg            Sat, Sep  9, 2012       D06-06-03 
 JD136F1124373A846  CR-Z         2012  22262  24705  Wagner, Ramon           Sun, Sep 10, 2012       D06-06-01 
 JA1X2F12843718628  Accord       2012  30969  33030  Dixon, Leslie           Tue, Sep 12, 2012       D06-06-04 
 JB121S12A437X752X  Civic        2012  15552  16455  Wagner, Ramon           Fri, Sep 15, 2012       D06-06-01 
 JH151F11243718632  Odyssey      2012  43916  44825  Dixon, Leslie           Tue, Sep 12, 2012       D06-06-04 
 JA1X1S1204373A854  Accord       2012  21839  24089  Day, Veronica           Sat, Sep  9, 2012       D06-06-05 
 JB121S128437X7526  Civic        2012  15552  16455  Wagner, Ramon           Sat, Sep  9, 2012       D06-06-01 
 JE143FU144375CA78  Crosstour    2012  37186  40640  Dixon, Leslie           Thu, Sep 14, 2012       D06-06-04 
 JH152SU144375CA8X  Odyssey      2012  28513  30375  Hall, Francis           Tue, Sep 12, 2012       D06-06-06 
 JB123H15243718642  Civic        2012  27068  27600  Day, Veronica           Wed, Sep 13, 2012       D06-06-05 
 JA111S1354375CA84  Accord       2012  20866  22480  Fuller, Terri           Wed, Sep 13, 2012       D06-06-08 
 JB127S1314376XB96  Civic        2012  15223  16655  Day, Veronica           Wed, Sep 13, 2012       D06-06-05 
 JE141F1144376XB98  Crosstour    2012  36566  37640  Dixon, Leslie           Sun, Sep 10, 2012       D06-06-04 
 JA1X4FU254374B98X  Accord       2012  31549  34030  Wagner, Ramon           Tue, Sep 12, 2012       D06-06-01 
 JE141F11443718652  Crosstour    2012  36185  37640  Torres, Rose            Mon, Sep 11, 2012       D06-06-02 
 JB127S1304375CA94  Civic        2012  16249  16655  Wagner, Ramon           Tue, Sep 12, 2012       D06-06-01 
 JA1X4FU274373A876  Accord       2012  31894  34030  Dixon, Leslie           Tue, Sep 12, 2012       D06-06-04 
 JB127S13643718658  Civic        2012  16249  16655  Torres, Rose            Tue, Sep 12, 2012       D06-06-02 
 JB123H1594373A88X  Civic        2012  26647  27600  Hall, Francis           Sun, Sep 10, 2012       D06-06-06 
 JB121S129437X7552  Civic        2012  15214  16455  Torres, Rose            Sun, Sep 10, 2012       D06-06-02 
 JB121S122437X7554  Civic        2012  15637  16455  Dixon, Leslie           Wed, Sep 13, 2012       D06-06-04 
 JB127S13243782XX6  Civic        2012  15137  16655  Porter, Ronnie          Fri, Sep 15, 2012       D06-06-07 
 JA1X3SU2743718668  Accord       2012  24772  25089  Porter, Ronnie          Mon, Sep 11, 2012       D06-06-07 
 JB121S1264376XBCX  Civic        2012  16313  16455  Porter, Ronnie          Sun, Sep 10, 2012       D06-06-07 
 JB127S1384376XBC2  Civic        2012  16335  16655  Wagner, Ramon           Fri, Sep 15, 2012       D06-06-01 
 JG148F1194376XBC4  Insight      2012  21983  24390  Torres, Rose            Sun, Sep 10, 2012       D06-06-02 
 JC133FU1A4376XBC6  CR-V         2012  30483  33995  Wagner, Ramon           Sat, Sep  9, 2012       D06-06-01 
 JA1X4FU2443771CX8  Accord       2012  32756  34030  Porter, Ronnie          Fri, Sep 15, 2012       D06-06-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
