Dealer Name: King Honda
Address:     9974 Brooklin Ave
             Port Kiln, SC
Dealer ID:   12
Owner:       King, Carl
Date:        Mon, Sep 17, 2013 thru Sun, Sep 23, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU1A538824B4  CR-V         2013  30056  31995  Graves, Edwin           Wed, Sep 19, 2013       D12-11-01 
 JC131F11A5383AC66  CR-V         2013  29928  30995  Graves, Edwin           Sun, Sep 23, 2013       D12-11-01 
 JC131F1135383AC68  CR-V         2013  28503  30995  Graves, Edwin           Wed, Sep 19, 2013       D12-11-01 
 JD138FU16538824CX  CR-Z         2013  25542  27705  Carroll, Judith         Thu, Sep 20, 2013       D12-11-02 
 JH156S3175383AC72  Odyssey      2013  27479  30375  Graves, Edwin           Tue, Sep 18, 2013       D12-11-01 
 JB127S1375383AC74  Civic        2013  16723  16655  Graves, Edwin           Fri, Sep 21, 2013       D12-11-01 
 JB127S1305383AC76  Civic        2013  15337  16655  Graves, Edwin           Sun, Sep 23, 2013       D12-11-01 
 JA1X5SU2453829B68  Accord       2013  26098  27089  Carroll, Judith         Sat, Sep 22, 2013       D12-11-02 
 JH153FU1953818A6X  Odyssey      2013  41617  45825  Carroll, Judith         Sun, Sep 23, 2013       D12-11-02 
 JC131F1155384BX92  CR-V         2013  28186  30995  Carroll, Judith         Fri, Sep 21, 2013       D12-11-02 
 JB127S132538824X4  Civic        2013  15597  16655  Graves, Edwin           Mon, Sep 17, 2013       D12-11-01 
 JA1X8F3295383AC86  Accord       2013  32102  34030  Carroll, Judith         Sun, Sep 23, 2013       D12-11-02 
 JB125G1605383AC88  Civic        2013  25970  28505  Graves, Edwin           Mon, Sep 17, 2013       D12-11-01 
 JH15AS1135386X2CX  Odyssey      2013  28247  29375  Carroll, Judith         Thu, Sep 20, 2013       D12-11-02 
 JA111S139538X7962  Accord       2013  21186  22480  Carroll, Judith         Wed, Sep 19, 2013       D12-11-02 
 JB127S139538713X4  Civic        2013  16550  16655  Graves, Edwin           Sun, Sep 23, 2013       D12-11-01 
 JE141F11353818A76  Crosstour    2013  35058  37640  Carroll, Judith         Tue, Sep 18, 2013       D12-11-02 
 JE142FU185383AC98  Crosstour    2013  34793  38640  Graves, Edwin           Sat, Sep 22, 2013       D12-11-01 
 JC133FU1353818A8X  CR-V         2013  32763  33995  Carroll, Judith         Fri, Sep 21, 2013       D12-11-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S124517X7553  Civic        2013  15706  16455  Carroll, Judith         Wed, Sep 19, 2013       D12-11-02 
