Dealer Name: Moosebury Honda
Address:     7343 Washington St
             East Valley, FL
Dealer ID:   37
Owner:       Moosebury, Hank
Date:        Mon, Sep 17, 2013 thru Sun, Sep 23, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F317538X88A2  Odyssey      2013  42547  45825  Hudson, Roger           Sun, Sep 23, 2013       D37-33-02 
 JB122SU2A53872244  Civic        2013  16764  17255  Pearson, Albert         Mon, Sep 17, 2013       D37-33-05 
 JB121S12053883356  Civic        2013  16016  16455  Pearson, Albert         Tue, Sep 18, 2013       D37-33-05 
 JH153FU1453872248  Odyssey      2013  41617  45825  Gonzales, Maureen       Tue, Sep 18, 2013       D37-33-03 
 JB127S1315387238X  Civic        2013  15770  16655  Castro, Jenny           Wed, Sep 19, 2013       D37-33-01 
 JH155FU1953861272  Odyssey      2013  46075  47825  Hudson, Roger           Thu, Sep 20, 2013       D37-33-02 
 JB123H1505384CX54  Civic        2013  25730  27600  Gonzales, Maureen       Tue, Sep 18, 2013       D37-33-03 
 JB127S13A53872386  Civic        2013  16550  16655  Pearson, Albert         Sun, Sep 23, 2013       D37-33-05 
 JH152SU115383BC48  Odyssey      2013  28410  30375  Gonzales, Maureen       Sun, Sep 23, 2013       D37-33-03 
 JB121S1275386128X  Civic        2013  16273  16455  Pearson, Albert         Mon, Sep 17, 2013       D37-33-05 
 JC132FU1653872392  CR-V         2013  31363  31995  Crawford, Katrina       Fri, Sep 21, 2013       D37-33-04 
 JB129S147538834A4  Civic        2013  21119  23055  Hudson, Roger           Sun, Sep 23, 2013       D37-33-02 
 JE145F411538X8926  Crosstour    2013  43529  46640  Hudson, Roger           Sun, Sep 23, 2013       D37-33-02 
 JC134F3115385X178  CR-V         2013  31526  31995  Gonzales, Maureen       Mon, Sep 17, 2013       D37-33-03 
 JB122SU295386129X  Civic        2013  16137  17255  Gonzales, Maureen       Fri, Sep 21, 2013       D37-33-03 
 JB121S12053861292  Civic        2013  15160  16455  Gonzales, Maureen       Sun, Sep 23, 2013       D37-33-03 
 JE141F1115382AB54  Crosstour    2013  34866  37640  Hudson, Roger           Thu, Sep 20, 2013       D37-33-02 
 JB127S13053819A46  Civic        2013  16376  16655  Crawford, Katrina       Sun, Sep 23, 2013       D37-33-04 
 JB127S139538X8938  Civic        2013  16550  16655  Pearson, Albert         Mon, Sep 17, 2013       D37-33-05 
 JE141F114538723BX  Crosstour    2013  35058  37640  Hudson, Roger           Thu, Sep 20, 2013       D37-33-02 
 JA1X3SU2A5382AB62  Accord       2013  23702  25089  Hudson, Roger           Sun, Sep 23, 2013       D37-33-02 
 JH153FU11538834C4  Odyssey      2013  43477  45825  Pearson, Albert         Sun, Sep 23, 2013       D37-33-05 
 JB121S127538X8946  Civic        2013  15417  16455  Hudson, Roger           Sun, Sep 23, 2013       D37-33-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F11A22183B51  Insight     2010  16196  24390  Pearson, Albert         Tue, Sep 18, 2013       D37-33-05 
 JJ162FU1A2X15X823  Pilot       2010  28924  44970  Gonzales, Maureen       Mon, Sep 17, 2013       D37-33-03 
 JK168F31632272A45  Ridgeline   2011  35378  47750  Crawford, Katrina       Mon, Sep 17, 2013       D37-33-04 
 JH155FU11X46194B7  Odyssey     2007  18950  47825  Pearson, Albert         Mon, Sep 17, 2013       D37-33-05 
 JH155FU1123861939  Odyssey     2010  31616  47825  Gonzales, Maureen       Wed, Sep 19, 2013       D37-33-03 
 JB129S147216X8411  Civic       2010  15318  23055  Castro, Jenny           Tue, Sep 18, 2013       D37-33-01 
 JA114FU351X25X963  Accord      2009  21036  33930  Hudson, Roger           Sun, Sep 23, 2013       D37-33-02 
 JH151F119X392A635  Odyssey     2007  17750  44825  Craig, Terri            Fri, Sep 21, 2013       D37-33-06 
 JC131F1142364C857  CR-V        2010  19980  30995  Castro, Jenny           Wed, Sep 19, 2013       D37-33-01 
 JH151F116223X8419  Odyssey     2010  28832  44825  Hudson, Roger           Sun, Sep 23, 2013       D37-33-02 
 JH153FU152285X971  Odyssey     2010  29472  45825  Gonzales, Maureen       Sat, Sep 22, 2013       D37-33-03 
 JH155FU161X819533  Odyssey     2009  28695  47825  Castro, Jenny           Sat, Sep 22, 2013       D37-33-01 
 JK167FU172163B755  Ridgeline   2010  31984  49750  Pearson, Albert         Mon, Sep 17, 2013       D37-33-05 
 JH152SU1324683CA7  Odyssey     2010  19033  30375  Gonzales, Maureen       Wed, Sep 19, 2013       D37-33-03 
 JH153FU123493B759  Odyssey     2011  33965  45825  Pearson, Albert         Sun, Sep 23, 2013       D37-33-05 
 JH154SU1032372BA1  Odyssey     2011  23634  32375  Gonzales, Maureen       Fri, Sep 21, 2013       D37-33-03 
 JC131F1191342A653  CR-V        2009  18597  30995  Hudson, Roger           Wed, Sep 19, 2013       D37-33-02 
 JB123H1542X472BA5  Civic       2010  18308  27600  Crawford, Katrina       Tue, Sep 18, 2013       D37-33-04 
 JB124HU53X42X8437  Civic       2007  12018  28400  Gonzales, Maureen       Wed, Sep 19, 2013       D37-33-03 
 JE141F1164X65X989  Crosstour   2012  31035  37640  Gonzales, Maureen       Tue, Sep 18, 2013       D37-33-03 
 JD14AF4123X5X8441  CR-Z        2011  25069  33705  Castro, Jenny           Tue, Sep 18, 2013       D37-33-01 
 JB121S1231X73B773  Civic       2009  10202  16455  Gonzales, Maureen       Sat, Sep 22, 2013       D37-33-03 
