PKEY=1, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=1, SCORE=4
PKEY=2, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=2, SCORE=4
PKEY=3, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=3, SCORE=3
PKEY=4, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=4, SCORE=4
PKEY=5, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=5, SCORE=3
PKEY=6, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=6, SCORE=4
PKEY=7, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=7, SCORE=3
PKEY=8, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=8, SCORE=4
PKEY=9, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=9, SCORE=5
PKEY=10, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=10, SCORE=4
PKEY=11, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=11, SCORE=5
PKEY=12, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=QU, ITEM_ID=1, SCORE=5
PKEY=13, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=QU, ITEM_ID=2, SCORE=6
PKEY=14, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=QU, ITEM_ID=3, SCORE=6
PKEY=15, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=QU, ITEM_ID=4, SCORE=6
PKEY=16, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=QU, ITEM_ID=5, SCORE=10
PKEY=17, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=QU, ITEM_ID=6, SCORE=5
PKEY=18, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=QU, ITEM_ID=7, SCORE=5
PKEY=19, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=EX, ITEM_ID=1, SCORE=25
PKEY=20, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=EX, ITEM_ID=2, SCORE=33
