Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Sat, Sep 23, 2012 thru Fri, Sep 29, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1364393A898  Civic        2012  15394  16655  Mills, Naomi            Tue, Sep 26, 2012       D07-07-06 
 JC134F3184392979X  CR-V         2012  28551  31995  Mills, Naomi            Mon, Sep 25, 2012       D07-07-06 
 JH156S31643929792  Odyssey      2012  29746  30375  Soto, Victor            Sat, Sep 23, 2012       D07-07-07 
 JA1X3SU254395CAC4  Accord       2012  24645  25089  Green, Francis          Sun, Sep 24, 2012       D07-07-02 
 JC133FU114394B9B6  CR-V         2012  32894  33995  Mills, Naomi            Fri, Sep 29, 2012       D07-07-06 
 JH154SU1343982X28  Odyssey      2012  31676  32375  Schmidt, Phillip        Tue, Sep 26, 2012       D07-07-01 
 JC131F1154395CAXX  CR-V         2012  30344  30995  Schmidt, Phillip        Sat, Sep 23, 2012       D07-07-01 
 JC131F112439X7582  CR-V         2012  28929  30995  Patterson, Hilda        Sat, Sep 23, 2012       D07-07-08 
 JC131F1114393A8B4  CR-V         2012  28300  30995  Caldwell, Wade          Mon, Sep 25, 2012       D07-07-04 
 JC131F11A439X7586  CR-V         2012  27828  30995  Caldwell, Wade          Tue, Sep 26, 2012       D07-07-04 
 JH153FU104395CAX8  Odyssey      2012  41416  45825  Chavez, Joy             Fri, Sep 29, 2012       D07-07-05 
 JA118F33A4394B9XX  Accord       2012  31457  33930  Chavez, Joy             Fri, Sep 29, 2012       D07-07-05 
 JA111S1354396XB22  Accord       2012  21898  22480  Mills, Naomi            Thu, Sep 28, 2012       D07-07-06 
 JA114FU364396XB24  Accord       2012  31285  33930  Schmidt, Phillip        Tue, Sep 26, 2012       D07-07-01 
 JK168F3134396XB26  Ridgeline    2012  43862  47750  Mills, Naomi            Sat, Sep 23, 2012       D07-07-06 
 JB128SU33439X7598  Civic        2012  16204  17455  Meyer, Vincent          Sun, Sep 24, 2012       D07-07-03 
 JB127S13143982X5X  Civic        2012  16591  16655  Chavez, Joy             Thu, Sep 28, 2012       D07-07-05 
 JB121S1294393A8X2  Civic        2012  16059  16455  Schmidt, Phillip        Sun, Sep 24, 2012       D07-07-01 
 JG148F11343982X54  Insight      2012  21983  24390  Green, Francis          Mon, Sep 25, 2012       D07-07-02 
 JB121S122439297C6  Civic        2012  15721  16455  Schmidt, Phillip        Wed, Sep 27, 2012       D07-07-01 
 JB127S137439297C8  Civic        2012  15565  16655  Patterson, Hilda        Thu, Sep 28, 2012       D07-07-08 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
