Dealer Name: Your Honda
Address:     3145 Brooklin Ave
             West Junction, AL
Dealer ID:   6
Owner:       Frederick, Ted
Date:        Fri, Apr  2, 2011 thru Thu, Apr  8, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12031482C48  Civic        2011  15095  16455  Fuller, Terri           Fri, Apr  2, 2011       D06-06-08 
 JB129S1483146XA3X  Civic        2011  21650  23055  Day, Veronica           Mon, Apr  5, 2011       D06-06-05 
 JE144F317314X74A2  Crosstour    2011  35950  38640  Rivera, Greg            Thu, Apr  8, 2011       D06-06-03 
 JA119S4343144B814  Accord       2011  30436  31480  Torres, Rose            Fri, Apr  2, 2011       D06-06-02 
 JH154SU173143A7X6  Odyssey      2011  29177  32375  Wagner, Ramon           Wed, Apr  7, 2011       D06-06-01 
 JC131F1183145C928  CR-V         2011  29190  30995  Wagner, Ramon           Mon, Apr  5, 2011       D06-06-01 
 JE141F115314X751X  Crosstour    2011  34457  37640  Hall, Francis           Sun, Apr  4, 2011       D06-06-06 
 JB123H15931482X92  Civic        2011  26155  27600  Wagner, Ramon           Sun, Apr  4, 2011       D06-06-01 
 JH153FU1031429734  Odyssey      2011  42135  45825  Day, Veronica           Mon, Apr  5, 2011       D06-06-05 
 JH156S31231471C86  Odyssey      2011  27540  30375  Torres, Rose            Thu, Apr  8, 2011       D06-06-02 
 JG148F11A31429738  Insight      2011  23138  24390  Wagner, Ramon           Thu, Apr  8, 2011       D06-06-01 
 JB129S1433141863X  Civic        2011  20835  23055  Wagner, Ramon           Sun, Apr  4, 2011       D06-06-01 
 JA111S13531418632  Accord       2011  22023  22480  Hall, Francis           Sat, Apr  3, 2011       D06-06-06 
 JH152SU1931471C94  Odyssey      2011  28305  30375  Rivera, Greg            Sun, Apr  4, 2011       D06-06-03 
 JB121S12431418636  Civic        2011  15512  16455  Rivera, Greg            Mon, Apr  5, 2011       D06-06-03 
 JH152SU113143A858  Odyssey      2011  27999  30375  Torres, Rose            Mon, Apr  5, 2011       D06-06-02 
 JA112F1313141864X  Accord       2011  31331  32930  Day, Veronica           Fri, Apr  2, 2011       D06-06-05 
 JB121S12631429752  Civic        2011  15679  16455  Wagner, Ramon           Sun, Apr  4, 2011       D06-06-01 
 JB129S14731429754  Civic        2011  21766  23055  Hall, Francis           Tue, Apr  6, 2011       D06-06-06 
 JA119S431314X7536  Accord       2011  30119  31480  Wagner, Ramon           Sun, Apr  4, 2011       D06-06-01 
 JC131F11531471CA8  CR-V         2011  28566  30995  Wagner, Ramon           Sun, Apr  4, 2011       D06-06-01 
 JB127S1343143A87X  Civic        2011  15276  16655  Rivera, Greg            Wed, Apr  7, 2011       D06-06-03 
 JB121S12431471CB2  Civic        2011  15178  16455  Day, Veronica           Fri, Apr  2, 2011       D06-06-05 
 JB127S139314X7544  Civic        2011  15614  16655  Day, Veronica           Wed, Apr  7, 2011       D06-06-05 
 JH155FU103146XBA6  Odyssey      2011  45167  47825  Day, Veronica           Tue, Apr  6, 2011       D06-06-05 
 JC131F11631418658  CR-V         2011  29346  30995  Torres, Rose            Wed, Apr  7, 2011       D06-06-02 
 JA1X7S32831471CCX  Accord       2011  22529  25089  Porter, Ronnie          Sat, Apr  3, 2011       D06-06-07 
 JC132FU1931471CC2  CR-V         2011  29803  31995  Torres, Rose            Sat, Apr  3, 2011       D06-06-02 
 JH151F11A31482XX4  Odyssey      2011  42121  44825  Wagner, Ramon           Tue, Apr  6, 2011       D06-06-01 
 JB123H155314X7556  Civic        2011  25599  27600  Torres, Rose            Mon, Apr  5, 2011       D06-06-02 
 JA111S13431418668  Accord       2011  20434  22480  Porter, Ronnie          Mon, Apr  5, 2011       D06-06-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
