Dealer Name: Isern Honda
Address:     9833 Florida Highway
             Brookland, GA
Dealer ID:   28
Owner:       Isern, Mareen
Date:        Mon, Sep 10, 2013 thru Sun, Sep 16, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F11553783XX2  Insight      2013  22307  24390  Stephens, Christy       Fri, Sep 14, 2013       D28-20-06 
 JA116FU38537X8554  Accord       2013  33493  35930  Stephens, Christy       Sat, Sep 15, 2013       D28-20-06 
 JB121S1225372A776  Civic        2013  16444  16455  Gregory, Brad           Sun, Sep 16, 2013       D28-20-05 
 JB129S1465374C998  Civic        2013  22780  23055  Gregory, Brad           Sat, Sep 15, 2013       D28-20-05 
 JH155FU155371967X  Odyssey      2013  44862  47825  Young, Bryan            Sat, Sep 15, 2013       D28-20-04 
 JH153FU125374C9A2  Odyssey      2013  41385  45825  Stephens, Christy       Wed, Sep 12, 2013       D28-20-06 
 JB127S13253761BC4  Civic        2013  15423  16655  Simpson, Charlene       Wed, Sep 12, 2013       D28-20-01 
 JH156S31A5372A786  Odyssey      2013  28876  30375  Stephens, Christy       Sat, Sep 15, 2013       D28-20-06 
 JB127S13253783X18  Civic        2013  16290  16655  Young, Bryan            Wed, Sep 12, 2013       D28-20-04 
 JH159F4165374C9BX  Odyssey      2013  52900  56825  Sullivan, Jorge         Tue, Sep 11, 2013       D28-20-02 
 JH155FU1953719682  Odyssey      2013  46802  47825  Simpson, Charlene       Tue, Sep 11, 2013       D28-20-01 
 JC131F1125375XAC4  CR-V         2013  29453  30995  Young, Bryan            Sun, Sep 16, 2013       D28-20-04 
 JB122SU275372A796  Civic        2013  16764  17255  Young, Bryan            Fri, Sep 14, 2013       D28-20-04 
 JB122SU2353783X28  Civic        2013  16047  17255  Sullivan, Jorge         Fri, Sep 14, 2013       D28-20-02 
 JB121S1205374C9CX  Civic        2013  15331  16455  Simpson, Charlene       Tue, Sep 11, 2013       D28-20-01 
 JH153FU185374C9C2  Odyssey      2013  41617  45825  Young, Bryan            Mon, Sep 10, 2013       D28-20-04 
 JD136F11353761B14  CR-Z         2013  22588  24705  Young, Bryan            Tue, Sep 11, 2013       D28-20-04 
 JA111S13353719696  Accord       2013  21186  22480  Simpson, Charlene       Mon, Sep 10, 2013       D28-20-01 
 JA1X6FU2853783X38  Accord       2013  32850  36030  Sullivan, Jorge         Fri, Sep 14, 2013       D28-20-02 
 JB13ASU495372A7BX  Civic        2013  21954  23855  Sullivan, Jorge         Sun, Sep 16, 2013       D28-20-02 
 JC131F1135375XA12  CR-V         2013  30403  30995  Sullivan, Jorge         Tue, Sep 11, 2013       D28-20-02 
 JB121S1255372A7B4  Civic        2013  15759  16455  Young, Bryan            Thu, Sep 13, 2013       D28-20-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S142Y1P29C85  Civic       2008  11415  23055  White, Ana              Fri, Sep 14, 2013       D28-20-03 
 JG148F11A2X318B77  Insight     2010  16196  24390  White, Ana              Fri, Sep 14, 2013       D28-20-03 
 JD136F1122446X3C9  CR-Z        2010  16403  24705  Simpson, Charlene       Fri, Sep 14, 2013       D28-20-01 
 JG148F1122X16X3X1  Insight     2010  15310  24390  White, Ana              Thu, Sep 13, 2013       D28-20-03 
 JH151F11514P4B1B3  Odyssey     2009  26895  44825  Sullivan, Jorge         Fri, Sep 14, 2013       D28-20-02 
 JJ162FU1A45P4B1B5  Pilot       2012  36516  44970  Sullivan, Jorge         Thu, Sep 13, 2013       D28-20-02 
 JH154SU14Y473AXA7  Odyssey     2008  16878  32375  Gregory, Brad           Thu, Sep 13, 2013       D28-20-05 
