Dealer Name: Zeigler Honda
Address:     2940 Davison Highway
             Sawyer, TN
Dealer ID:   36
Owner:       Zeigler, Martin
Date:        Wed, Jul  2, 2015 thru Tue, Jul  8, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU13727615AX  CR-V         2015  31298  31995  Armstrong, Amber        Mon, Jul  7, 2015       D36-32-06 
 JB127S1337275X492  Civic        2015  16446  16655  Washington, Jerry       Fri, Jul  4, 2015       D36-32-01 
 JH153FU19727726B4  Odyssey      2015  41550  45825  Fleming, Larry          Fri, Jul  4, 2015       D36-32-05 
 JA115SU3572719X56  Accord       2015  25673  25480  Fleming, Larry          Sat, Jul  5, 2015       D36-32-05 
 JG148F114727837C8  Insight      2015  22708  24390  Webb, Hector            Tue, Jul  8, 2015       D36-32-02 
 JB129S14A727X8C5X  Civic        2015  23091  23055  Carr, Linda             Sun, Jul  6, 2015       D36-32-04 
 JE141F113727X8C52  Crosstour    2015  34500  37640  Fleming, Larry          Tue, Jul  8, 2015       D36-32-05 
 JB121S12A727837X4  Civic        2015  16261  16455  Webb, Hector            Sun, Jul  6, 2015       D36-32-02 
 JJ161FU11727615B6  Pilot        2015  42110  42970  Gonzales, Brian         Tue, Jul  8, 2015       D36-32-03 
 JA1X7S324727726C8  Accord       2015  24116  25089  Webb, Hector            Mon, Jul  7, 2015       D36-32-02 
 JB125G1697272A18X  Civic        2015  26518  28505  Washington, Jerry       Tue, Jul  8, 2015       D36-32-01 
 JB121S12572719X72  Civic        2015  15822  16455  Fleming, Larry          Tue, Jul  8, 2015       D36-32-05 
 JG148F1137273B294  Insight      2015  23856  24390  Fleming, Larry          Sun, Jul  6, 2015       D36-32-05 
 JB127S13372719X76  Civic        2015  16002  16655  Fleming, Larry          Sat, Jul  5, 2015       D36-32-05 
 JG148F1127275X4B8  Insight      2015  23346  24390  Washington, Jerry       Fri, Jul  4, 2015       D36-32-01 
 JB129S1427274C3BX  Civic        2015  22124  23055  Washington, Jerry       Mon, Jul  7, 2015       D36-32-01 
 JB127S13A727X8C72  Civic        2015  15646  16655  Webb, Hector            Fri, Jul  4, 2015       D36-32-02 
 JA1X1S1267275X4C4  Accord       2015  23196  24089  Fleming, Larry          Mon, Jul  7, 2015       D36-32-05 
 JA1X1S122727615X6  Accord       2015  24205  24089  Carr, Linda             Tue, Jul  8, 2015       D36-32-04 
 JH152SU197274C3B8  Odyssey      2015  28665  30375  Carr, Linda             Mon, Jul  7, 2015       D36-32-04 
 JA117S3357273B2BX  Accord       2015  23743  23480  Washington, Jerry       Sat, Jul  5, 2015       D36-32-01 
 JC131F1197272A1A2  CR-V         2015  29229  30995  Fleming, Larry          Sun, Jul  6, 2015       D36-32-05 
 JD137FU127273B2B4  CR-Z         2015  25220  25705  Gonzales, Brian         Wed, Jul  2, 2015       D36-32-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU18417X8475  Odyssey     2004  19313  30375  Gonzales, Brian         Sun, Jul  6, 2015       D36-32-03 
 JC133FU1972P4C8B7  CR-V         2015  31987  33995  Gonzales, Brian         Sun, Jul  6, 2015       D36-32-03 
 JH154SU114275X9C9  Odyssey     2004  21152  32375  Carr, Linda             Tue, Jul  8, 2015       D36-32-04 
 JH153FU1961819591  Odyssey     2006  37560  45825  Washington, Jerry       Tue, Jul  8, 2015       D36-32-01 
 JH152SU11648X8483  Odyssey     2006  25515  30375  Fleming, Larry          Sun, Jul  6, 2015       D36-32-05 
 JB127S1345374C8C5  Civic       2005  12885  16655  Fleming, Larry          Mon, Jul  7, 2015       D36-32-05 
 JH154SU124X361A17  Odyssey     2004  21152  32375  Washington, Jerry       Sun, Jul  6, 2015       D36-32-01 
 JC131F1184422A6A9  CR-V        2004  20838  30995  Washington, Jerry       Tue, Jul  8, 2015       D36-32-01 
 JC132FU1A4252A6B1  CR-V        2004  29566  31995  Gonzales, Brian         Wed, Jul  2, 2015       D36-32-03 
 JD136F11741972B33  CR-Z        2004  16700  24705  Washington, Jerry       Fri, Jul  4, 2015       D36-32-01 
 JH159F412551195A5  Odyssey     2005  42370  56825  Carr, Linda             Thu, Jul  3, 2015       D36-32-04 
