Dealer Name: Newton Honda
Address:     4893 Brooklin Ave
             Granger, AL
Dealer ID:   34
Owner:       Newton, Robert
Date:        Mon, Sep  3, 2013 thru Sun, Sep  9, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14353661176  Civic        2013  21001  23055  Rice, Georgia           Fri, Sep  7, 2013       D34-30-03 
 JB127S1345363BB48  Civic        2013  16203  16655  Webb, Ken               Wed, Sep  5, 2013       D34-30-02 
 JD136F1155362AA4X  CR-Z         2013  23984  24705  Jensen, Bill            Fri, Sep  7, 2013       D34-30-06 
 JB123H1565363BB52  Civic        2013  25306  27600  Rodriquez, Jorge        Sat, Sep  8, 2013       D34-30-04 
 JC131F114536X8824  CR-V         2013  30403  30995  Rodriquez, Jorge        Fri, Sep  7, 2013       D34-30-04 
 JH153FU1153672296  Odyssey      2013  42780  45825  Jensen, Bill            Tue, Sep  4, 2013       D34-30-06 
 JC131F11553661188  CR-V         2013  28027  30995  Bennett, Michele        Fri, Sep  7, 2013       D34-30-05 
 JA1X3SU20536833BX  Accord       2013  23831  25089  Rodriquez, Jorge        Wed, Sep  5, 2013       D34-30-04 
 JB121S12453661192  Civic        2013  16359  16455  Bennett, Michele        Sun, Sep  9, 2013       D34-30-05 
 JA1X7S328536833B4  Accord       2013  23574  25089  Jensen, Bill            Wed, Sep  5, 2013       D34-30-06 
 JJ162FU12536833B6  Pilot        2013  43819  44970  Webb, Ken               Sat, Sep  8, 2013       D34-30-02 
 JA119S434536X8838  Accord       2013  30547  31480  Rodriquez, Jorge        Mon, Sep  3, 2013       D34-30-04 
 JE141F11A5363BB7X  Crosstour    2013  35824  37640  Webb, Ken               Fri, Sep  7, 2013       D34-30-02 
 JH15AS1175362AA62  Odyssey      2013  27946  29375  Bennett, Michele        Sun, Sep  9, 2013       D34-30-05 
 JB127S138536X8844  Civic        2013  16723  16655  Rodriquez, Jorge        Sat, Sep  8, 2013       D34-30-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F1132142A555  Odyssey     2010  28021  44825  Jensen, Bill            Wed, Sep  5, 2013       D34-30-06 
 JJ164F419335X8337  Pilot       2011  39944  53970  Jensen, Bill            Sat, Sep  8, 2013       D34-30-06 
 JH151F11031783BB9  Odyssey     2011  33231  44825  Jensen, Bill            Mon, Sep  3, 2013       D34-30-06 
 JJ163F3173292A561  Pilot       2011  31262  42970  Bennett, Michele        Fri, Sep  7, 2013       D34-30-05 
 JG148F112335X8343  Insight     2011  17884  24390  Jensen, Bill            Sun, Sep  9, 2013       D34-30-06 
 JD139F3172X63B675  CR-Z        2010  17061  25705  Webb, Ken               Tue, Sep  4, 2013       D34-30-02 
 JA116FU3522583BC7  Accord      2010  23789  35930  Torres, Caroline        Wed, Sep  5, 2013       D34-30-01 
 JH157F3112264C789  Odyssey     2010  29472  45825  Jensen, Bill            Fri, Sep  7, 2013       D34-30-06 
 JH157F3112453B681  Odyssey     2010  29472  45825  Jensen, Bill            Sat, Sep  8, 2013       D34-30-06 
 JE141F11A23719463  Crosstour   2010  24915  37640  Jensen, Bill            Tue, Sep  4, 2013       D34-30-06 
 JC131F11022119465  CR-V        2010  20542  30995  Rodriquez, Jorge        Tue, Sep  4, 2013       D34-30-04 
 JH154SU1A22383BX7  Odyssey     2010  20864  32375  Jensen, Bill            Tue, Sep  4, 2013       D34-30-06 
 JG148F11A13572AC9  Insight     2009  14634  24390  Webb, Ken               Sun, Sep  9, 2013       D34-30-02 
