Dealer Name: Riverside Honda
Address:     9663 Mason Road
             Granger, AL
Dealer ID:   35
Owner:       Riverside, Francis
Date:        Sat, Sep  2, 2012 thru Fri, Sep  8, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1324365XB2X  Civic        2012  15394  16655  Jimenez, Alfred         Fri, Sep  8, 2012       D35-31-02 
 JB121S12543683152  Civic        2012  16144  16455  Anderson, Sean          Mon, Sep  4, 2012       D35-31-04 
 JD136F11843661C34  CR-Z         2012  23142  24705  Fox, Alvin              Sat, Sep  2, 2012       D35-31-06 
 JA1X3SU244363B9X6  Accord       2012  22985  25089  Lambert, Patsy          Mon, Sep  4, 2012       D35-31-03 
 JH155FU1943672X48  Odyssey      2012  46102  47825  Jones, Kyle             Sat, Sep  2, 2012       D35-31-01 
 JB128SU364364CB5X  Civic        2012  15845  17455  Jones, Kyle             Thu, Sep  7, 2012       D35-31-01 
 JD136F110436X8712  CR-Z         2012  22765  24705  Morris, Tracey          Tue, Sep  5, 2012       D35-31-05 
 JF146S1144362A934  Fit          2012  15074  16025  Morris, Tracey          Fri, Sep  8, 2012       D35-31-05 
 JB125G165436X8716  Civic        2012  25480  28505  Jones, Kyle             Wed, Sep  6, 2012       D35-31-01 
 JE142FU13436X8718  Crosstour    2012  35962  38640  Morris, Tracey          Fri, Sep  8, 2012       D35-31-05 
 JK166FU124362A94X  Ridgeline    2012  43621  47750  Lambert, Patsy          Tue, Sep  5, 2012       D35-31-03 
 JH158S4134364CB62  Odyssey      2012  39524  41375  Anderson, Sean          Thu, Sep  7, 2012       D35-31-04 
 JB127S13043672194  Civic        2012  15137  16655  Jones, Kyle             Sat, Sep  2, 2012       D35-31-01 
 JH157F31143661X86  Odyssey      2012  41878  45825  Morris, Tracey          Wed, Sep  6, 2012       D35-31-05 
 JB129S14343661X88  Civic        2012  21859  23055  Fox, Alvin              Sun, Sep  3, 2012       D35-31-06 
 JB129S1424363BA6X  Civic        2012  20684  23055  Lambert, Patsy          Sun, Sep  3, 2012       D35-31-03 
 JH157F31A436832B2  Odyssey      2012  43035  45825  Anderson, Sean          Thu, Sep  7, 2012       D35-31-04 
 JD136F11943661X94  CR-Z         2012  23771  24705  Fox, Alvin              Wed, Sep  6, 2012       D35-31-06 
 JH159F4184362A956  Odyssey      2012  52693  56825  Lambert, Patsy          Sat, Sep  2, 2012       D35-31-03 
 JH152SU11436X8738  Odyssey      2012  28050  30375  Anderson, Sean          Mon, Sep  4, 2012       D35-31-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F31614419453  Odyssey     2009  30152  45825  Lambert, Patsy          Fri, Sep  8, 2012       D35-31-03 
 JH157F31511872AB5  Odyssey     2009  29328  45825  Morris, Tracey          Fri, Sep  8, 2012       D35-31-05 
 JH158S41A14472AB7  Odyssey     2009  25735  41375  Lambert, Patsy          Sat, Sep  2, 2012       D35-31-03 
 JH153FU1725P619A9  Odyssey     2010  33800  45825  Morris, Tracey          Mon, Sep  4, 2012       D35-31-05 
 JE142FU111393B681  Crosstour   2009  25425  38640  Jones, Kyle             Mon, Sep  4, 2012       D35-31-01 
 JE143FU18W3472AC3  Crosstour   2006  15986  40640  Anderson, Sean          Tue, Sep  5, 2012       D35-31-04 
 JE144F312W373B685  Crosstour   2006  15186  38640  Morris, Tracey          Thu, Sep  7, 2012       D35-31-05 
 JB121S123X243B687  Civic       2007  14484  16455  Lambert, Patsy          Thu, Sep  7, 2012       D35-31-03 
 JB123H156W244C799  Civic       2006  11577  27600  Anderson, Sean          Thu, Sep  7, 2012       D35-31-04 
 JB127S1363272A581  Civic       2011  13684  16655  Anderson, Sean          Sat, Sep  2, 2012       D35-31-04 
 JH154SU13W424C7A3  Odyssey     2006  13631  32375  Jones, Kyle             Fri, Sep  8, 2012       D35-31-01 
