Dealer Name: Zeigler Honda
Address:     2940 Davison Highway
             Sawyer, TN
Dealer ID:   36
Owner:       Zeigler, Martin
Date:        Thu, Feb 12, 2010 thru Wed, Feb 18, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F1182X7X8582  Odyssey      2010  39446  44825  Washington, Jerry       Wed, Feb 18, 2010       D36-32-01 
 JA1X1S1222X719694  Accord       2010  21680  24089  Armstrong, Amber        Thu, Feb 12, 2010       D36-32-06 
 JC131F1172X761B16  CR-V         2010  29755  30995  Webb, Hector            Fri, Feb 13, 2010       D36-32-02 
 JB127S1382X74C9C8  Civic        2010  16072  16655  Fleming, Larry          Tue, Feb 17, 2010       D36-32-05 
 JB127S13A2X761B2X  Civic        2010  15156  16655  Gonzales, Brian         Tue, Feb 17, 2010       D36-32-03 
 JB127S1372X772C32  Civic        2010  15322  16655  Gonzales, Brian         Wed, Feb 18, 2010       D36-32-03 
 JG148F1192X74C9X4  Insight      2010  21463  24390  Gonzales, Brian         Sat, Feb 14, 2010       D36-32-03 
 JA1X5SU2A2X72A7B6  Accord       2010  24244  27089  Washington, Jerry       Tue, Feb 17, 2010       D36-32-01 
 JB121S1282X74C9X8  Civic        2010  15385  16455  Gonzales, Brian         Thu, Feb 12, 2010       D36-32-03 
 JH152SU1A2X72A7CX  Odyssey      2010  27641  30375  Webb, Hector            Tue, Feb 17, 2010       D36-32-02 
 JD136F1102X7196B2  CR-Z         2010  22481  24705  Webb, Hector            Sun, Feb 15, 2010       D36-32-02 
 JH157F3162X73B8X4  Odyssey      2010  40784  45825  Fleming, Larry          Fri, Feb 13, 2010       D36-32-05 
 JA1X7S3282X772C46  Accord       2010  23458  25089  Armstrong, Amber        Sat, Feb 14, 2010       D36-32-06 
 JB121S1242X73B8X8  Civic        2010  15549  16455  Armstrong, Amber        Thu, Feb 12, 2010       D36-32-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD139F313Y323B645  CR-Z        2008  18345  25705  Fleming, Larry          Sun, Feb 15, 2010       D36-32-05 
 JD138FU11Y333B647  CR-Z        2008  19785  27705  Fleming, Larry          Thu, Feb 12, 2010       D36-32-05 
 JB129S147W3361979  Civic       2006  13875  23055  Washington, Jerry       Thu, Feb 12, 2010       D36-32-01 
 JB127S138X1761981  Civic       2007  10662  16655  Armstrong, Amber        Sun, Feb 15, 2010       D36-32-06 
 JH151F114V2PX8323  Odyssey     2005  21962  44825  Fleming, Larry          Fri, Feb 13, 2010       D36-32-05 
 JH151F118Y1161985  Odyssey     2008  32112  44825  Webb, Hector            Tue, Feb 17, 2010       D36-32-02 
 JH154SU16XX219437  Odyssey     2007  20432  32375  Gonzales, Brian         Thu, Feb 12, 2010       D36-32-03 
 JB129S149Y4383BA9  Civic       2008  16757  23055  Fleming, Larry          Wed, Feb 18, 2010       D36-32-05 
 JH153FU17YX683BB1  Odyssey     2008  32832  45825  Carr, Linda             Wed, Feb 18, 2010       D36-32-04 
 JD136F111V483B663  CR-Z        2005  11902  24705  Washington, Jerry       Tue, Feb 17, 2010       D36-32-01 
 JB127S136W3319445  Civic       2006  9907   16655  Webb, Hector            Sun, Feb 15, 2010       D36-32-02 
