Dealer Name: Wallace Honda
Address:     2132 Tupelo Road
             Clarksville, NC
Dealer ID:   4
Owner:       Wallace, Patrick
Date:        Fri, Apr 23, 2011 thru Thu, Apr 29, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S138317X7446  Civic        2011  15529  16655  Campbell, Jeanne        Thu, Apr 29, 2011       D04-04-02 
 JB128SU3931718558  Civic        2011  16530  17455  Wilson, Chad            Wed, Apr 28, 2011       D04-04-08 
 JB125G1643175C9AX  Civic        2011  26287  28505  Campbell, Jeanne        Tue, Apr 27, 2011       D04-04-02 
 JB121S12231771BC2  Civic        2011  15846  16455  Lucas, Carl             Mon, Apr 26, 2011       D04-04-01 
 JB127S13131782CX4  Civic        2011  15529  16655  Campbell, Jeanne        Sat, Apr 24, 2011       D04-04-02 
 JH153FU113176XAB6  Odyssey      2011  43056  45825  Miller, Julian          Thu, Apr 29, 2011       D04-04-04 
 JA1X7S3203176XAB8  Accord       2011  23035  25089  Russell, Jerry          Tue, Apr 27, 2011       D04-04-03 
 JA113SU373174B8AX  Accord       2011  21690  23480  Lucas, Carl             Sat, Apr 24, 2011       D04-04-01 
 JE144F31A317X7462  Crosstour    2011  37310  38640  Lucas, Carl             Tue, Apr 27, 2011       D04-04-01 
 JB121S12431782C14  Civic        2011  15095  16455  Wilson, Chad            Fri, Apr 23, 2011       D04-04-08 
 JB121S1223173A796  Civic        2011  15262  16455  Russell, Jerry          Tue, Apr 27, 2011       D04-04-03 
 JB129S1413175C9B8  Civic        2011  20952  23055  Miller, Julian          Tue, Apr 27, 2011       D04-04-04 
 JD136F1193172969X  CR-Z         2011  22312  24705  Miller, Julian          Thu, Apr 29, 2011       D04-04-04 
 JH153FU14317X7472  Odyssey      2011  43747  45825  Lucas, Carl             Tue, Apr 27, 2011       D04-04-01 
 JD14AF4193175C9C4  CR-Z         2011  31215  33705  Pena, Elaine            Sat, Apr 24, 2011       D04-04-05 
 JA1X1S12731782C26  Accord       2011  21882  24089  Pena, Elaine            Sun, Apr 25, 2011       D04-04-05 
 JA112F131317X7478  Accord       2011  31331  32930  Richards, Angela        Sun, Apr 25, 2011       D04-04-06 
 JE142FU103174B8CX  Crosstour    2011  35755  38640  Miller, Julian          Wed, Apr 28, 2011       D04-04-04 
 JE141F1163173A7B2  Crosstour    2011  35593  37640  Pena, Elaine            Thu, Apr 29, 2011       D04-04-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JK165F119VX53A759  Ridgeline   2005  18340  46750  Russell, Jerry          Fri, Apr 23, 2011       D04-04-03 
 JD138FU1AW1682CB1  CR-Z        2006  14190  27705  Wilson, Chad            Wed, Apr 28, 2011       D04-04-08 
 JD138FU10YX53A763  CR-Z        2008  18081  27705  Miller, Julian          Tue, Apr 27, 2011       D04-04-04 
 JE142FU1AY153A765  Crosstour   2008  24585  38640  Dixon, Patsy            Sat, Apr 24, 2011       D04-04-07 
 JB121S12724571BA7  Civic       2010  13510  16455  Wilson, Chad            Fri, Apr 23, 2011       D04-04-08 
 JC132FU181443A769  CR-V        2009  23484  31995  Lucas, Carl             Sat, Apr 24, 2011       D04-04-01 
 JH151F1131X282CC1  Odyssey     2009  32274  44825  Dixon, Patsy            Thu, Apr 29, 2011       D04-04-07 
 JJ161FU141X782CC3  Pilot       2009  31539  42970  Wilson, Chad            Sat, Apr 24, 2011       D04-04-08 
 JB127S138W3882CC5  Civic       2006  8389   16655  Lucas, Carl             Thu, Apr 29, 2011       D04-04-01 
 JD136F1122X25C997  CR-Z        2010  20193  24705  Pena, Elaine            Mon, Apr 26, 2011       D04-04-05 
 JH155FU11Y1729669  Odyssey     2008  30464  47825  Wilson, Chad            Sat, Apr 24, 2011       D04-04-08 
 JB127S1371473A781  Civic       2009  12224  16655  Pena, Elaine            Sat, Apr 24, 2011       D04-04-05 
 JE143FU12X375C9A3  Crosstour   2007  24917  40640  Lucas, Carl             Fri, Apr 23, 2011       D04-04-01 
 JJ161FU151364B895  Pilot       2009  31539  42970  Lucas, Carl             Sun, Apr 25, 2011       D04-04-01 
 JH159F413X445C9A7  Odyssey     2007  33825  56825  Richards, Angela        Tue, Apr 27, 2011       D04-04-06 
 JH153FU121144B899  Odyssey     2009  33635  45825  Richards, Angela        Sat, Apr 24, 2011       D04-04-06 
 JC135F410W4771BX1  CR-V        2006  20643  39995  Lucas, Carl             Tue, Apr 27, 2011       D04-04-01 
 JH152SU19VX24B8A3  Odyssey     2005  11790  30375  Lucas, Carl             Mon, Apr 26, 2011       D04-04-01 
 JC134F315Y2418575  CR-V        2008  20332  31995  Pena, Elaine            Thu, Apr 29, 2011       D04-04-05 
 JH153FU19W2218577  Odyssey     2006  23703  45825  Dixon, Patsy            Sat, Apr 24, 2011       D04-04-07 
 JH159F415VX54B8A9  Odyssey     2005  20692  56825  Russell, Jerry          Mon, Apr 26, 2011       D04-04-03 
 JC131F115W285C9C1  CR-V        2006  15160  30995  Richards, Angela        Wed, Apr 28, 2011       D04-04-06 
 JH15AS119Y3171B13  Odyssey     2008  19180  29375  Miller, Julian          Tue, Apr 27, 2011       D04-04-04 
 JH157F313WX229695  Odyssey     2006  23703  45825  Miller, Julian          Wed, Apr 28, 2011       D04-04-04 
 JH157F319X373A7A7  Odyssey     2007  28132  45825  Pena, Elaine            Fri, Apr 23, 2011       D04-04-05 
 JG148F110Y5P4B8B9  Insight     2008  15465  24390  Richards, Angela        Sat, Apr 24, 2011       D04-04-06 
 JK166FU16W5PX7481  Ridgeline   2006  22360  47750  Pena, Elaine            Fri, Apr 23, 2011       D04-04-05 
 JA115SU35Y216XA13  Accord      2008  16617  25480  Dixon, Patsy            Tue, Apr 27, 2011       D04-04-07 
