Dealer Name: Olson Honda
Address:     3074 Davison Highway
             Norbert, FL
Dealer ID:   15
Owner:       Olson, Howard
Date:        Tue, Oct  8, 2014 thru Mon, Oct 14, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC133FU106414B1C2  CR-V         2014  32626  33995  Murphy, Kelly           Wed, Oct  9, 2014       D15-14-07 
 JJ164F41A64118B94  Pilot        2014  48559  53970  Elliott, Jacqueline     Sun, Oct 13, 2014       D15-14-01 
 JA1X1S1296414B1C6  Accord       2014  22365  24089  Shelton, Monica         Sat, Oct 12, 2014       D15-14-06 
 JB122SU2664118B98  Civic        2014  16521  17255  Gardner, Joan           Mon, Oct 14, 2014       D15-14-09 
 JC133FU116413AXCX  CR-V         2014  32103  33995  Gonzales, Natalie       Thu, Oct 10, 2014       D15-14-04 
 JB129S148641X7A92  Civic        2014  21679  23055  Gardner, Joan           Tue, Oct  8, 2014       D15-14-09 
 JA1X7S3226413AXC4  Accord       2014  23390  25089  Shelton, Monica         Wed, Oct  9, 2014       D15-14-06 
 JC132FU1A641X7A96  CR-V         2014  31579  31995  Gonzales, Natalie       Thu, Oct 10, 2014       D15-14-04 
 JD136F119641X7A98  CR-Z         2014  24452  24705  Shelton, Monica         Sun, Oct 13, 2014       D15-14-06 
 JD138FU196414B11X  CR-Z         2014  25458  27705  Shelton, Monica         Wed, Oct  9, 2014       D15-14-06 
 JB127S1306414B112  Civic        2014  16940  16655  Hall, Willie            Mon, Oct 14, 2014       D15-14-08 
 JA1X2F1246414B114  Accord       2014  30706  33030  Gardner, Joan           Sat, Oct 12, 2014       D15-14-09 
 JB127S1346415C226  Civic        2014  16852  16655  Hall, Willie            Wed, Oct  9, 2014       D15-14-08 
 JA111S1356415C228  Accord       2014  20808  22480  Gonzales, Natalie       Thu, Oct 10, 2014       D15-14-04 
 JA117S3346418269X  Accord       2014  22551  23480  Gardner, Joan           Wed, Oct  9, 2014       D15-14-09 
 JC131F11064129X32  CR-V         2014  29662  30995  Gonzales, Natalie       Fri, Oct 11, 2014       D15-14-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F11142718745  Insight     2004  18397  24390  Hall, Willie            Mon, Oct 14, 2014       D15-14-08 
 JC134F3142236XC97  CR-V        2002  28998  31995  Gardner, Joan           Sat, Oct 12, 2014       D15-14-09 
 JB121S1253X818749  Civic       2003  11123  16455  Bowman, Joan            Wed, Oct  9, 2014       D15-14-03 
 JH153FU18132X7641  Odyssey     2001  24058  45825  Elliott, Jacqueline     Wed, Oct  9, 2014       D15-14-01 
 JJ161FU1551918753  Pilot       2005  35534  42970  Hall, Willie            Sun, Oct 13, 2014       D15-14-08 
 JA113SU383X829865  Accord      2003  15745  23480  Ramos, Maxine           Fri, Oct 11, 2014       D15-14-05 
 JH151F1145125CB97  Odyssey     2005  36122  44825  Ramos, Maxine           Sun, Oct 13, 2014       D15-14-05 
 JG148F11863771XB9  Insight      2014  22963  24390  Bowman, Joan            Fri, Oct 11, 2014       D15-14-03 
 JH154SU1723971XC1  Odyssey     2002  19560  32375  Elliott, Jacqueline     Wed, Oct  9, 2014       D15-14-01 
 JH154SU123435CBA3  Odyssey     2003  21598  32375  Shelton, Monica         Tue, Oct  8, 2014       D15-14-06 
 JB127S133514821X5  Civic       2005  14219  16655  Elliott, Jacqueline     Fri, Oct 11, 2014       D15-14-01 
 JC132FU111414BA97  CR-V        2001  16797  31995  Ramos, Maxine           Wed, Oct  9, 2014       D15-14-05 
 JE143FU192435CBA9  Crosstour   2002  25336  40640  Shelton, Monica         Sat, Oct 12, 2014       D15-14-06 
 JD137FU123184BAA1  CR-Z        2003  17209  25705  Hall, Willie            Sun, Oct 13, 2014       D15-14-08 
 JD136F11732629883  CR-Z        2003  16099  24705  Ramos, Maxine           Fri, Oct 11, 2014       D15-14-05 
