Dealer Name: Your Honda
Address:     3145 Brooklin Ave
             West Junction, AL
Dealer ID:   6
Owner:       Frederick, Ted
Date:        Sat, Feb 26, 2012 thru Fri, Mar  3, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F1144X9296C8  CR-V         2012  29715  30995  Fuller, Terri           Fri, Mar  3, 2012       D06-06-08 
 JH151F1124X93A84X  Odyssey      2012  41200  44825  Rivera, Greg            Wed, Mar  1, 2012       D06-06-03 
 JJ161FU154X94B952  Pilot        2012  41683  42970  Day, Veronica           Sat, Feb 26, 2012       D06-06-05 
 JB127S1394X929734  Civic        2012  16078  16655  Wagner, Ramon           Sat, Feb 26, 2012       D06-06-01 
 JA114FU394X94B956  Accord       2012  30426  33930  Wagner, Ramon           Sun, Feb 27, 2012       D06-06-01 
 JB121S1294X918628  Civic        2012  15552  16455  Dixon, Leslie           Mon, Feb 28, 2012       D06-06-04 
 JB121S1284X94B96X  Civic        2012  16144  16455  Day, Veronica           Sat, Feb 26, 2012       D06-06-05 
 JA1X1S1274X918632  Accord       2012  23066  24089  Wagner, Ramon           Thu, Mar  2, 2012       D06-06-01 
 JE141F1164X9X7524  Crosstour    2012  35614  37640  Rivera, Greg            Wed, Mar  1, 2012       D06-06-03 
 JG148F1164X918636  Insight      2012  22356  24390  Rivera, Greg            Fri, Mar  3, 2012       D06-06-03 
 JB123H1544X96XB88  Civic        2012  26226  27600  Rivera, Greg            Wed, Mar  1, 2012       D06-06-03 
 JH156S3194X96XB9X  Odyssey      2012  28821  30375  Torres, Rose            Sun, Feb 27, 2012       D06-06-02 
 JG148F1134X95CA82  Insight      2012  22231  24390  Wagner, Ramon           Sun, Feb 27, 2012       D06-06-01 
 JH152SU104X9X7534  Odyssey      2012  28821  30375  Wagner, Ramon           Sun, Feb 27, 2012       D06-06-01 
 JA1X1S1254X94B976  Accord       2012  23312  24089  Rivera, Greg            Wed, Mar  1, 2012       D06-06-03 
 JH15AS1194X96XB98  Odyssey      2012  26693  29375  Wagner, Ramon           Fri, Mar  3, 2012       D06-06-01 
 JD136F11A4X96XBAX  CR-Z         2012  22513  24705  Porter, Ronnie          Fri, Mar  3, 2012       D06-06-07 
 JB122SU274X95CA92  Civic        2012  16465  17255  Dixon, Leslie           Fri, Mar  3, 2012       D06-06-04 
 JB121S1214X93A874  Civic        2012  16397  16455  Day, Veronica           Tue, Feb 29, 2012       D06-06-05 
 JB127S1324X94B986  Civic        2012  15736  16655  Wagner, Ramon           Sat, Feb 26, 2012       D06-06-01 
 JB129S1424X94B988  Civic        2012  21272  23055  Day, Veronica           Sun, Feb 27, 2012       D06-06-05 
 JB121S1254X95CAAX  Civic        2012  15129  16455  Torres, Rose            Fri, Mar  3, 2012       D06-06-02 
 JD137FU174X971CC2  CR-Z         2012  24978  25705  Rivera, Greg            Fri, Mar  3, 2012       D06-06-03 
 JH155FU184X971CC4  Odyssey      2012  46102  47825  Day, Veronica           Wed, Mar  1, 2012       D06-06-05 
 JB121S1234X95CAA6  Civic        2012  16313  16455  Dixon, Leslie           Thu, Mar  2, 2012       D06-06-04 
 JD139F3134X971CC8  CR-Z         2012  24062  25705  Dixon, Leslie           Fri, Mar  3, 2012       D06-06-04 
 JA1X1S1274X971CXX  Accord       2012  22330  24089  Torres, Rose            Sun, Feb 27, 2012       D06-06-02 
 JE141F1134X9X7562  Crosstour    2012  36185  37640  Hall, Francis           Wed, Mar  1, 2012       D06-06-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
