Dealer Name: Zeigler Honda
Address:     2940 Davison Highway
             Sawyer, TN
Dealer ID:   36
Owner:       Zeigler, Martin
Date:        Wed, Jul 23, 2015 thru Tue, Jul 29, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F11A73P19X52  CR-V         2015  29229  30995  Gonzales, Brian         Sat, Jul 26, 2015       D36-32-03 
 JK169F41473P726B4  Ridgeline    2015  53288  58750  Webb, Hector            Tue, Jul 29, 2015       D36-32-02 
 JH151F11073P4C386  Odyssey      2015  42044  44825  Armstrong, Amber        Fri, Jul 25, 2015       D36-32-06 
 JB121S12073P5X498  Civic        2015  15734  16455  Washington, Jerry       Thu, Jul 24, 2015       D36-32-01 
 JC133FU1573PX8C5X  CR-V         2015  32486  33995  Carr, Linda             Thu, Jul 24, 2015       D36-32-04 
 JE143FU1273P2A172  Crosstour    2015  38632  40640  Fleming, Larry          Tue, Jul 29, 2015       D36-32-05 
 JJ162FU1273P3B284  Pilot        2015  41715  44970  Fleming, Larry          Sat, Jul 26, 2015       D36-32-05 
 JA111S13173P3B286  Accord       2015  21244  22480  Gonzales, Brian         Sun, Jul 27, 2015       D36-32-03 
 JH154SU1A73P19X68  Odyssey      2015  32327  32375  Armstrong, Amber        Tue, Jul 29, 2015       D36-32-06 
 JA1X2F12073P4C3AX  Accord       2015  30568  33030  Fleming, Larry          Tue, Jul 29, 2015       D36-32-05 
 JD138FU1973P3B292  CR-Z         2015  27388  27705  Carr, Linda             Tue, Jul 29, 2015       D36-32-04 
 JJ162FU1373P83714  Pilot        2015  40563  44970  Washington, Jerry       Fri, Jul 25, 2015       D36-32-01 
 JC135F41073P4C3A6  CR-V         2015  39886  39995  Carr, Linda             Sat, Jul 26, 2015       D36-32-04 
 JA113SU3573PX8C68  Accord       2015  23128  23480  Armstrong, Amber        Sun, Jul 27, 2015       D36-32-06 
 JC131F11573P4C3BX  CR-V         2015  29711  30995  Fleming, Larry          Wed, Jul 23, 2015       D36-32-05 
 JE141F11373P72612  Crosstour    2015  36051  37640  Webb, Hector            Tue, Jul 29, 2015       D36-32-02 
 JE142FU1873P2A194  Crosstour    2015  35192  38640  Washington, Jerry       Fri, Jul 25, 2015       D36-32-01 
 JC131F11573P2A196  CR-V         2015  30995  30995  Fleming, Larry          Mon, Jul 28, 2015       D36-32-05 
 JC131F11973P2A198  CR-V         2015  28908  30995  Washington, Jerry       Mon, Jul 28, 2015       D36-32-01 
 JG148F11173P5X4XX  Insight      2015  23473  24390  Fleming, Larry          Wed, Jul 23, 2015       D36-32-05 
 JA1X1S12273P4C3C2  Accord       2015  23953  24089  Webb, Hector            Wed, Jul 23, 2015       D36-32-02 
 JB127S13873P2A1A4  Civic        2015  15913  16655  Carr, Linda             Fri, Jul 25, 2015       D36-32-04 
 JH155FU1A73PX8C86  Odyssey      2015  43565  47825  Fleming, Larry          Mon, Jul 28, 2015       D36-32-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JJ163F31A515X8477  Pilot       2005  32200  42970  Washington, Jerry       Sat, Jul 26, 2015       D36-32-01 
 JB121S1264X561AX9  Civic       2004  11271  16455  Washington, Jerry       Thu, Jul 24, 2015       D36-32-01 
 JH152SU104155X9X1  Odyssey     2004  20430  30375  Webb, Hector            Thu, Jul 24, 2015       D36-32-02 
 JD138FU133X9X8483  CR-Z        2003  17456  27705  Armstrong, Amber        Sat, Jul 26, 2015       D36-32-06 
 JE141F1181X42A6A5  Crosstour   2001  16185  37640  Fleming, Larry          Tue, Jul 29, 2015       D36-32-05 
 JB123H15852P72B27  Civic       2005  20919  27600  Carr, Linda             Sat, Jul 26, 2015       D36-32-04 
 JC134F31A43P4C8C9  CR-V        2004  21496  31995  Carr, Linda             Wed, Jul 23, 2015       D36-32-04 
 JB122SU244425X911  Civic       2004  11797  17255  Webb, Hector            Tue, Jul 29, 2015       D36-32-02 
 JA113SU391254C8X3  Accord      2001  10096  23480  Gonzales, Brian         Mon, Jul 28, 2015       D36-32-03 
 JH15AS11A5X7195A5  Odyssey     2005  22221  29375  Washington, Jerry       Sun, Jul 27, 2015       D36-32-01 
 JH153FU1143872B37  Odyssey     2004  28923  45825  Webb, Hector            Tue, Jul 29, 2015       D36-32-02 
