Dealer Name: Your Honda
Address:     3145 Brooklin Ave
             West Junction, AL
Dealer ID:   6
Owner:       Frederick, Ted
Date:        Sat, Jun  3, 2012 thru Fri, Jun  9, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F1114235CA64  CR-V         2012  30029  30995  Dixon, Leslie           Thu, Jun  8, 2012       D06-06-04 
 JB129S14A4233A846  Civic        2012  21742  23055  Hall, Francis           Wed, Jun  7, 2012       D06-06-06 
 JH152SU1642318628  Odyssey      2012  28821  30375  Fuller, Terri           Sun, Jun  4, 2012       D06-06-08 
 JH152SU194236XB8X  Odyssey      2012  28359  30375  Rivera, Greg            Wed, Jun  7, 2012       D06-06-03 
 JA116FU3542371C92  Accord       2012  35106  35930  Fuller, Terri           Thu, Jun  8, 2012       D06-06-08 
 JB123H1524236XB84  Civic        2012  26787  27600  Torres, Rose            Sun, Jun  4, 2012       D06-06-02 
 JD136F11042318636  CR-Z         2012  24148  24705  Fuller, Terri           Mon, Jun  5, 2012       D06-06-08 
 JB129S14042329748  Civic        2012  22094  23055  Torres, Rose            Sat, Jun  3, 2012       D06-06-02 
 JH154SU174231864X  Odyssey      2012  31347  32375  Torres, Rose            Wed, Jun  7, 2012       D06-06-02 
 JB121S1204233A862  Civic        2012  16059  16455  Torres, Rose            Mon, Jun  5, 2012       D06-06-02 
 JH154SU134233A864  Odyssey      2012  31512  32375  Hall, Francis           Fri, Jun  9, 2012       D06-06-06 
 JC131F11542329756  CR-V         2012  29715  30995  Porter, Ronnie          Fri, Jun  9, 2012       D06-06-07 
 JH153FU1542382XB8  Odyssey      2012  43729  45825  Fuller, Terri           Tue, Jun  6, 2012       D06-06-08 
 JH154SU114235CA9X  Odyssey      2012  29706  32375  Porter, Ronnie          Sat, Jun  3, 2012       D06-06-07 
 JA111S1314233A872  Accord       2012  22012  22480  Hall, Francis           Tue, Jun  6, 2012       D06-06-06 
 JB129S1444235CA94  Civic        2012  20919  23055  Fuller, Terri           Sat, Jun  3, 2012       D06-06-08 
 JH154SU1A4233A876  Odyssey      2012  29050  32375  Rivera, Greg            Thu, Jun  8, 2012       D06-06-03 
 JB127S13242382XC8  Civic        2012  16591  16655  Torres, Rose            Sun, Jun  4, 2012       D06-06-02 
 JB123H15642371CCX  Civic        2012  24964  27600  Fuller, Terri           Sat, Jun  3, 2012       D06-06-08 
 JH154SU154233A882  Odyssey      2012  29214  32375  Torres, Rose            Sat, Jun  3, 2012       D06-06-02 
 JB121S12842318664  Civic        2012  15890  16455  Porter, Ronnie          Fri, Jun  9, 2012       D06-06-07 
 JB121S12342371CC6  Civic        2012  16059  16455  Porter, Ronnie          Sun, Jun  4, 2012       D06-06-07 
 JE142FU124234B998  Crosstour    2012  36549  38640  Hall, Francis           Sun, Jun  4, 2012       D06-06-06 
 JA1X4FU2A42371CXX  Accord       2012  32583  34030  Fuller, Terri           Fri, Jun  9, 2012       D06-06-08 
 JB127S13A423X7562  Civic        2012  16506  16655  Rivera, Greg            Sun, Jun  4, 2012       D06-06-03 
 JB127S13842329784  Civic        2012  16164  16655  Porter, Ronnie          Sat, Jun  3, 2012       D06-06-07 
 JE141F116423X7566  Crosstour    2012  34471  37640  Wagner, Ramon           Fri, Jun  9, 2012       D06-06-01 
 JA117S33A42382X18  Accord       2012  22135  23480  Fuller, Terri           Thu, Jun  8, 2012       D06-06-08 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
