Dealer Name: Bill Travers Honda
Address:     7043 George Parson Highway
             Grand Traverse, AL
Dealer ID:   21
Owner:       Travers, Bill
Date:        Fri, Apr  9, 2011 thru Thu, Apr 15, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA115SU393156X318  Accord       2011  24291  25480  Powell, Jerome          Mon, Apr 12, 2011       D21-19-03 
 JB127S13A315X7A9X  Civic        2011  15614  16655  Simpson, Georgia        Sun, Apr 11, 2011       D21-19-08 
 JB121S12331518BA2  Civic        2011  15345  16455  Carroll, Glenn          Fri, Apr  9, 2011       D21-19-01 
 JB127S13A3154B1X4  Civic        2011  16036  16655  Carroll, Glenn          Tue, Apr 13, 2011       D21-19-01 
 JB128SU3731529CB6  Civic        2011  16265  17455  Oliver, Melanie         Thu, Apr 15, 2011       D21-19-02 
 JH151F1173155C218  Odyssey      2011  40995  44825  Oliver, Melanie         Sun, Apr 11, 2011       D21-19-02 
 JH156S3103153AXXX  Odyssey      2011  27540  30375  West, Ashley            Sun, Apr 11, 2011       D21-19-07 
 JE141F11631518BB2  Crosstour    2011  34078  37640  Washington, Franklin    Thu, Apr 15, 2011       D21-19-06 
 JD139F31531571444  CR-Z         2011  25022  25705  West, Ashley            Thu, Apr 15, 2011       D21-19-07 
 JC131F11631582556  CR-V         2011  29971  30995  Washington, Franklin    Tue, Apr 13, 2011       D21-19-06 
 JG148F11531582558  Insight      2011  22153  24390  West, Ashley            Mon, Apr 12, 2011       D21-19-07 
 JH15AS1123158269X  Odyssey      2011  28416  29375  Evans, Dennis           Thu, Apr 15, 2011       D21-19-05 
 JB127S1343154B252  Civic        2011  14938  16655  Evans, Dennis           Sat, Apr 10, 2011       D21-19-05 
 JB123H15131529X34  Civic        2011  24903  27600  Evans, Dennis           Thu, Apr 15, 2011       D21-19-05 
 JA113SU3A315X7B16  Accord       2011  21571  23480  King, Gwendolyn         Wed, Apr 14, 2011       D21-19-04 
 JA1X3SU2731529X38  Accord       2011  23288  25089  Oliver, Melanie         Thu, Apr 15, 2011       D21-19-02 
 JB121S1263157159X  Civic        2011  15345  16455  West, Ashley            Fri, Apr  9, 2011       D21-19-07 
 JC131F1153156X482  CR-V         2011  29659  30995  Carroll, Glenn          Fri, Apr  9, 2011       D21-19-01 
 JH155FU1A3155C374  Odyssey      2011  43004  47825  Simpson, Georgia        Sun, Apr 11, 2011       D21-19-08 
 JA1X4FU273154B266  Accord       2011  30486  34030  Carroll, Glenn          Fri, Apr  9, 2011       D21-19-01 
 JB129S1443154B268  Civic        2011  21766  23055  Oliver, Melanie         Sat, Apr 10, 2011       D21-19-02 
 JB127S131315826BX  Civic        2011  15192  16655  Oliver, Melanie         Sun, Apr 11, 2011       D21-19-02 
 JB129S142315715A2  Civic        2011  22348  23055  Carroll, Glenn          Sat, Apr 10, 2011       D21-19-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F118X3929AA9  CR-V        2007  18937  30995  Carroll, Glenn          Tue, Apr 13, 2011       D21-19-01 
 JJ16AF116Y4P189A1  Pilot       2008  27468  41970  Carroll, Glenn          Fri, Apr  9, 2011       D21-19-01 
 JG149FU16X385CX13  Insight     2007  14844  25190  Evans, Dennis           Sat, Apr 10, 2011       D21-19-05 
 JB121S123Y4P4BCX5  Civic       2008  10679  16455  Washington, Franklin    Thu, Apr 15, 2011       D21-19-06 
 JE142FU18Y483ABC7  Crosstour   2008  25277  38640  Evans, Dennis           Fri, Apr  9, 2011       D21-19-05 
 JH155FU15Y135CX19  Odyssey     2008  30464  47825  Washington, Franklin    Sat, Apr 10, 2011       D21-19-06 
 JB127S1352X35CX21  Civic       2010  13672  16655  Simpson, Georgia        Tue, Apr 13, 2011       D21-19-08 
 JH153FU17X524BC13  Odyssey     2007  27225  45825  Washington, Franklin    Tue, Apr 13, 2011       D21-19-06 
 JA113SU33Y154BC15  Accord      2008  15301  23480  Carroll, Glenn          Wed, Apr 14, 2011       D21-19-01 
 JH155FU1715P3ABX7  Odyssey     2009  43281  47825  King, Gwendolyn         Sat, Apr 10, 2011       D21-19-04 
 JH151F11AY3882359  Odyssey     2008  29346  44825  Simpson, Georgia        Fri, Apr  9, 2011       D21-19-08 
 JB129S149Y396X271  Civic       2008  15022  23055  Carroll, Glenn          Mon, Apr 12, 2011       D21-19-01 
 JB121S128W133AC43  Civic       2006  8284   16455  Carroll, Glenn          Sat, Apr 10, 2011       D21-19-01 
 JB125G16924P6X275  Civic       2010  23271  28505  Washington, Franklin    Tue, Apr 13, 2011       D21-19-06 
 JC132FU12XX44BX57  CR-V        2007  19557  31995  Simpson, Georgia        Wed, Apr 14, 2011       D21-19-08 
 JA111S13915P5C169  Accord      2009  16500  22480  Washington, Franklin    Sat, Apr 10, 2011       D21-19-06 
 JC134F312126X7921  CR-V        2009  23036  31995  Oliver, Melanie         Sun, Apr 11, 2011       D21-19-02 
 JJ16AF116Y3971393  Pilot       2008  26716  41970  Oliver, Melanie         Mon, Apr 12, 2011       D21-19-02 
