Dealer Name: Yancy Honda
Address:     351 Washington St
             West Junction, AL
Dealer ID:   8
Owner:       Yancy, Clark
Date:        Sat, Oct 21, 2012 thru Fri, Oct 27, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA114FU304433A8X6  Accord       2012  32661  33930  Rogers, Donna           Mon, Oct 23, 2012       D08-08-02 
 JA113SU304436XB38  Accord       2012  22374  23480  Rogers, Donna           Sun, Oct 22, 2012       D08-08-02 
 JA1X5SU2444371X8X  Accord       2012  25886  27089  Rogers, Donna           Tue, Oct 24, 2012       D08-08-02 
 JB127S1344436XC72  Civic        2012  15052  16655  Rogers, Donna           Thu, Oct 26, 2012       D08-08-02 
 JD138FU1344382194  CR-Z         2012  25480  27705  Rogers, Donna           Mon, Oct 23, 2012       D08-08-02 
 JG149FU1444382196  Insight      2012  23076  25190  Parker, Tracy           Wed, Oct 25, 2012       D08-08-01 
 JB121S1284434BA58  Civic        2012  15721  16455  Parker, Tracy           Sat, Oct 21, 2012       D08-08-01 
 JB127S13A4434BA6X  Civic        2012  15907  16655  Rogers, Donna           Tue, Oct 24, 2012       D08-08-02 
 JB128SU364436XC82  Civic        2012  17009  17455  Parker, Tracy           Sun, Oct 22, 2012       D08-08-01 
 JH15AS11844371X94  Odyssey      2012  26842  29375  Rogers, Donna           Sun, Oct 22, 2012       D08-08-02 
 JC131F1164436XC86  CR-V         2012  30501  30995  Parker, Tracy           Sat, Oct 21, 2012       D08-08-01 
 JB121S12544318738  Civic        2012  16144  16455  Rogers, Donna           Sun, Oct 22, 2012       D08-08-02 
 JB121S1224432985X  Civic        2012  16059  16455  Parker, Tracy           Fri, Oct 27, 2012       D08-08-01 
 JB121S12344329852  Civic        2012  15552  16455  Rogers, Donna           Sat, Oct 21, 2012       D08-08-02 
 JB127S1334435CB84  Civic        2012  15137  16655  Rogers, Donna           Sun, Oct 22, 2012       D08-08-02 
 JH159F4144433A966  Odyssey      2012  52693  56825  Parker, Tracy           Fri, Oct 27, 2012       D08-08-01 
 JA111S13944371XA8  Accord       2012  21668  22480  Rogers, Donna           Fri, Oct 27, 2012       D08-08-02 
 JA1X3SU244432986X  Accord       2012  24134  25089  Rogers, Donna           Thu, Oct 26, 2012       D08-08-02 
 JD138FU13443821C2  CR-Z         2012  25198  27705  Parker, Tracy           Sun, Oct 22, 2012       D08-08-01 
 JB127S136443X7644  Civic        2012  16335  16655  Rogers, Donna           Thu, Oct 26, 2012       D08-08-02 
 JB127S13A443X7646  Civic        2012  15308  16655  Rogers, Donna           Sun, Oct 22, 2012       D08-08-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
