Dealer Name: Superior Honda
Address:     8799 Dixie Highway
             Louderdale, FL
Dealer ID:   31
Owner:       Griner, Thomas
Date:        Wed, Jan 15, 2015 thru Tue, Jan 21, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1397X32AB64  Civic        2015  16179  16655  Knight, Sean            Fri, Jan 17, 2015       D31-27-04 
 JB121S12A7X35X196  Civic        2015  16085  16455  Wells, Bobby            Fri, Jan 17, 2015       D31-27-03 
 JH158S4197X32AB68  Odyssey      2015  39525  41375  Harvey, Joseph          Fri, Jan 17, 2015       D31-27-01 
 JH151F1187X3612BX  Odyssey      2015  42274  44825  Berry, Gerald           Tue, Jan 21, 2015       D31-27-02 
 JH155FU1A7X3X8952  Odyssey      2015  45523  47825  Wells, Bobby            Wed, Jan 15, 2015       D31-27-03 
 JG148F1187X3X8954  Insight      2015  24621  24390  Berry, Gerald           Mon, Jan 20, 2015       D31-27-02 
 JB13ASU477X3723C6  Civic        2015  22107  23855  Wells, Bobby            Mon, Jan 20, 2015       D31-27-03 
 JH15AS1197X3612B8  Odyssey      2015  29280  29375  Harvey, Joseph          Sat, Jan 18, 2015       D31-27-01 
 JE141F1187X3X896X  Crosstour    2015  34307  37640  Knight, Sean            Sun, Jan 19, 2015       D31-27-04 
 JC134F3107X35X1B2  CR-V         2015  30636  31995  Harvey, Joseph          Sun, Jan 19, 2015       D31-27-01 
 JB123H1547X32AB84  Civic        2015  27288  27600  Burns, Laura            Tue, Jan 21, 2015       D31-27-05 
 JA1X2F1267X3612C6  Accord       2015  30397  33030  Berry, Gerald           Mon, Jan 20, 2015       D31-27-02 
 JH154SU197X3X8968  Odyssey      2015  30820  32375  Berry, Gerald           Thu, Jan 16, 2015       D31-27-02 
 JH154SU127X33BCAX  Odyssey      2015  29982  32375  Wells, Bobby            Wed, Jan 15, 2015       D31-27-03 
 JC131F1147X34CXB2  CR-V         2015  30514  30995  Berry, Gerald           Wed, Jan 15, 2015       D31-27-02 
 JB121S1257X3X8974  Civic        2015  15822  16455  Berry, Gerald           Tue, Jan 21, 2015       D31-27-02 
 JB129S1477X383426  Civic        2015  21762  23055  Wells, Bobby            Thu, Jan 16, 2015       D31-27-03 
 JA112F1307X319A88  Accord       2015  32863  32930  Wells, Bobby            Sun, Jan 19, 2015       D31-27-03 
 JH153FU107X38343X  Odyssey      2015  43194  45825  Berry, Gerald           Thu, Jan 16, 2015       D31-27-02 
 JH154SU187X372322  Odyssey      2015  29982  32375  Burns, Laura            Sat, Jan 18, 2015       D31-27-05 
 JA116FU307X34CXC4  Accord       2015  35758  35930  Burns, Laura            Wed, Jan 15, 2015       D31-27-05 
 JH154SU137X35X1X6  Odyssey      2015  29647  32375  Burns, Laura            Mon, Jan 20, 2015       D31-27-05 
 JH156S3187X361218  Odyssey      2015  30082  30375  Berry, Gerald           Sat, Jan 18, 2015       D31-27-02 
 JB128SU347X36122X  Civic        2015  16536  17455  Harvey, Joseph          Mon, Jan 20, 2015       D31-27-01 
 JH151F1137X33BCC2  Odyssey      2015  40665  44825  Burns, Laura            Thu, Jan 16, 2015       D31-27-05 
 JA12AF4337X35X114  Accord       2015  38749  41930  Knight, Sean            Mon, Jan 20, 2015       D31-27-04 
 JA111S1337X383446  Accord       2015  22660  22480  Harvey, Joseph          Tue, Jan 21, 2015       D31-27-01 
 JJ162FU197X361228  Pilot        2015  44251  44970  Burns, Laura            Tue, Jan 21, 2015       D31-27-05 
 JB127S1357X3X89AX  Civic        2015  16802  16655  Burns, Laura            Sun, Jan 19, 2015       D31-27-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JK165F1143X5X7C83  Ridgeline   2003  28320  46750  Burns, Laura            Mon, Jan 20, 2015       D31-27-05 
 JE141F1104365C4X5  Crosstour   2004  24521  37640  Burns, Laura            Thu, Jan 16, 2015       D31-27-05 
 JD136F1136X371627  CR-Z        2006  20922  24705  Wells, Bobby            Wed, Jan 15, 2015       D31-27-03 
 JJ161FU193194B3C9  Pilot       2003  26920  42970  Berry, Gerald           Tue, Jan 21, 2015       D31-27-02 
 JH155FU193X2291B1  Odyssey     2003  29930  47825  Knight, Sean            Mon, Jan 20, 2015       D31-27-04 
