Dealer Name: Kronnen Honda
Address:     4641 Johnstown Drive
             Norbert, FL
Dealer ID:   18
Owner:       Kronnen, Winston
Date:        Fri, Mar  5, 2011 thru Thu, Mar 11, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13531P6X232  Civic        2011  15107  16655  Richards, Jessica       Fri, Mar  5, 2011       D18-17-02 
 JB127S13A31P3ACX4  Civic        2011  16036  16655  Watkins, Tiffany        Sun, Mar  7, 2011       D18-17-04 
 JB127S13A31P29BC6  Civic        2011  16289  16655  Peterson, Judy          Tue, Mar  9, 2011       D18-17-01 
 JB123H15731P3ACX8  Civic        2011  26851  27600  Carroll, Danny          Fri, Mar  5, 2011       D18-17-05 
 JH156S31431PX7A1X  Odyssey      2011  29070  30375  Watkins, Tiffany        Fri, Mar  5, 2011       D18-17-04 
 JB127S13231P3AX42  Civic        2011  15107  16655  Bennett, Tiffany        Sun, Mar  7, 2011       D18-17-07 
 JB127S13331P18B24  Civic        2011  15698  16655  Watkins, Tiffany        Fri, Mar  5, 2011       D18-17-04 
 JH152SU1831P5C266  Odyssey      2011  28764  30375  Peterson, Judy          Sat, Mar  6, 2011       D18-17-01 
 JA113SU3031P6X378  Accord       2011  21571  23480  Bennett, Tiffany        Sat, Mar  6, 2011       D18-17-07 
 JJ162FU1631P3AX5X  Pilot        2011  40901  44970  Carroll, Danny          Tue, Mar  9, 2011       D18-17-05 
 JH151F11531P18B32  Odyssey      2011  39644  44825  Rice, Derrick           Wed, Mar 10, 2011       D18-17-09 
 JB121S12131P29C44  Civic        2011  15429  16455  Scott, Jack             Mon, Mar  8, 2011       D18-17-08 
 JF146S11731P71496  Fit          2011  15275  16025  Bennett, Tiffany        Sat, Mar  6, 2011       D18-17-07 
 JA1X5SU2331P71498  Accord       2011  26358  27089  Scott, Jack             Sun, Mar  7, 2011       D18-17-08 
 JB123H15431P18B4X  Civic        2011  26016  27600  Carroll, Danny          Fri, Mar  5, 2011       D18-17-05 
 JB127S13531P5C282  Civic        2011  15023  16655  Rice, Derrick           Fri, Mar  5, 2011       D18-17-09 
 JH151F11131P5C284  Odyssey      2011  43473  44825  Bennett, Tiffany        Tue, Mar  9, 2011       D18-17-07 
 JA1X1S12831P18B46  Accord       2011  23341  24089  Bennett, Tiffany        Tue, Mar  9, 2011       D18-17-07 
 JH159F41331P714A8  Odyssey      2011  51630  56825  Watkins, Tiffany        Mon, Mar  8, 2011       D18-17-04 
 JA11AF42131P5C29X  Accord       2011  39719  42030  Peterson, Judy          Sun, Mar  7, 2011       D18-17-01 
 JB121S12331P29C62  Civic        2011  16012  16455  Peterson, Judy          Sun, Mar  7, 2011       D18-17-01 
 JB125G16831P3AX74  Civic        2011  26862  28505  Watkins, Tiffany        Sat, Mar  6, 2011       D18-17-04 
 JJ16AF11831P18B56  Pilot        2011  38186  41970  Carroll, Danny          Fri, Mar  5, 2011       D18-17-05 
 JC133FU1631P3AX78  CR-V         2011  31995  33995  Rice, Derrick           Thu, Mar 11, 2011       D18-17-09 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB128SU35Y14X7833  Civic       2008  11337  17455  Rice, Derrick           Thu, Mar 11, 2011       D18-17-09 
 JB127S1371495CX85  Civic       2009  12224  16655  Rice, Derrick           Fri, Mar  5, 2011       D18-17-09 
 JH156S310147X7837  Odyssey     2009  22295  30375  Watkins, Tiffany        Mon, Mar  8, 2011       D18-17-04 
 JH154SU10X273AB69  Odyssey     2007  19155  32375  Larson, Pauline         Wed, Mar 10, 2011       D18-17-03 
 JJ161FU15X426X1A1  Pilot       2007  26362  42970  Larson, Pauline         Sun, Mar  7, 2011       D18-17-03 
 JB127S1332166X1A3  Civic       2010  13672  16655  Watkins, Tiffany        Sun, Mar  7, 2011       D18-17-04 
 JG148F116V1P29A65  Insight     2005  9396   24390  Peterson, Judy          Thu, Mar 11, 2011       D18-17-01 
 JJ161FU10Y4518957  Pilot       2008  26587  42970  Curtis, Jimmie          Tue, Mar  9, 2011       D18-17-06 
 JH158S4111173AB79  Odyssey     2009  30369  41375  Carroll, Danny          Mon, Mar  8, 2011       D18-17-05 
 JB126GU6AYX75CXA1  Civic       2008  19134  29305  Peterson, Judy          Tue, Mar  9, 2011       D18-17-01 
 JH151F116X154BC93  Odyssey     2007  27512  44825  Larson, Pauline         Fri, Mar  5, 2011       D18-17-03 
 JC132FU17Y4229A75  CR-V        2008  20904  31995  Watkins, Tiffany        Wed, Mar 10, 2011       D18-17-04 
 JD136F115148X7857  CR-Z        2009  18133  24705  Carroll, Danny          Sun, Mar  7, 2011       D18-17-05 
 JJ162FU12X27823X9  Pilot       2007  27602  44970  Rice, Derrick           Fri, Mar  5, 2011       D18-17-09 
 JH154SU1AYX2X7861  Odyssey     2008  20576  32375  Curtis, Jimmie          Wed, Mar 10, 2011       D18-17-06 
