Dealer Name: Honda Pro
Address:     923 Green St
             Brookland, GA
Dealer ID:   27
Owner:       Palmer, John
Date:        Mon, Apr 23, 2013 thru Sun, Apr 29, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU155172A734  CR-V         2013  29729  31995  Wright, Marion          Thu, Apr 26, 2013       D27-24-04 
 JB127S13251719626  Civic        2013  15510  16655  Shelton, Regina         Wed, Apr 25, 2013       D27-24-02 
 JA113SU385173B848  Accord       2013  23068  23480  Hill, Rita              Mon, Apr 23, 2013       D27-24-01 
 JB127S1395173B85X  Civic        2013  16550  16655  Shelton, Regina         Tue, Apr 24, 2013       D27-24-02 
 JB121S12751761B82  Civic        2013  15930  16455  Shelton, Regina         Wed, Apr 25, 2013       D27-24-02 
 JB125G16151772C94  Civic        2013  25824  28505  Scott, Samuel           Mon, Apr 23, 2013       D27-24-06 
 JB121S12A5175XA76  Civic        2013  15417  16455  Wright, Marion          Wed, Apr 25, 2013       D27-24-04 
 JB121S12751783XA8  Civic        2013  15331  16455  Shelton, Regina         Fri, Apr 27, 2013       D27-24-02 
 JG148F1175171964X  Insight      2013  22934  24390  Howard, Samantha        Tue, Apr 24, 2013       D27-24-05 
 JB121S12951783XB2  Civic        2013  16102  16455  Perkins, Pearl          Mon, Apr 23, 2013       D27-24-03 
 JA112F1385173B864  Accord       2013  29908  32930  Scott, Samuel           Wed, Apr 25, 2013       D27-24-06 
 JB121S12651783XB6  Civic        2013  15074  16455  Shelton, Regina         Sun, Apr 29, 2013       D27-24-02 
 JD139F31251761B98  CR-Z         2013  24929  25705  Wright, Marion          Tue, Apr 24, 2013       D27-24-04 
 JC135F416517X854X  CR-V         2013  37009  39995  Scott, Samuel           Sun, Apr 29, 2013       D27-24-06 
 JC133FU1A5173B872  CR-V         2013  33456  33995  Perkins, Pearl          Thu, Apr 26, 2013       D27-24-03 
 JB121S1285173B874  Civic        2013  16530  16455  Wright, Marion          Thu, Apr 26, 2013       D27-24-04 
 JH151F11351719656  Odyssey      2013  41860  44825  Hill, Rita              Sun, Apr 29, 2013       D27-24-01 
 JA111S133517X8548  Accord       2013  20376  22480  Wright, Marion          Mon, Apr 23, 2013       D27-24-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S1444435C281  Civic       2012  18984  23055  Wright, Marion          Thu, Apr 26, 2013       D27-24-04 
 JJ161FU1922229C53  Pilot       2010  27644  42970  Scott, Samuel           Thu, Apr 26, 2013       D27-24-06 
 JA115SU37215714A5  Accord      2010  16913  25480  Wright, Marion          Thu, Apr 26, 2013       D27-24-04 
 JH154SU1822818B47  Odyssey     2010  20864  32375  Wright, Marion          Thu, Apr 26, 2013       D27-24-04 
 JE141F119346825B9  Crosstour   2011  27958  37640  Scott, Samuel           Wed, Apr 25, 2013       D27-24-06 
 JH153FU16X364B181  Odyssey     2007  19511  45825  Wright, Marion          Fri, Apr 27, 2013       D27-24-04 
 JC133FU14235825C3  CR-V        2010  22516  33995  Howard, Samantha        Tue, Apr 24, 2013       D27-24-05 
 JH155FU173466X3A5  Odyssey     2011  35433  47825  Howard, Samantha        Mon, Apr 23, 2013       D27-24-05 
 JC131F110Y1418B57  CR-V        2008  16154  30995  Perkins, Pearl          Sat, Apr 28, 2013       D27-24-03 
 JB127S1353X23AX79  Civic       2011  15480  16655  Hill, Rita              Fri, Apr 27, 2013       D27-24-01 
 JH157F311214X7A51  Odyssey     2010  29472  45825  Scott, Samuel           Fri, Apr 27, 2013       D27-24-06 
 JJ16AF116233714C3  Pilot       2010  27004  41970  Hill, Rita              Tue, Apr 24, 2013       D27-24-01 
 JC131F1164X1825X5  CR-V        2012  25336  30995  Shelton, Regina         Fri, Apr 27, 2013       D27-24-02 
 JC135F4152364B197  CR-V        2010  25740  39995  Shelton, Regina         Tue, Apr 24, 2013       D27-24-02 
 JB129S143438825X9  Civic       2012  19221  23055  Shelton, Regina         Wed, Apr 25, 2013       D27-24-02 
 JC131F11A219X7A61  CR-V        2010  20542  30995  Perkins, Pearl          Sun, Apr 29, 2013       D27-24-03 
