Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Thu, Dec  3, 2010 thru Wed, Dec  9, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X5SU2024918874  Accord       2010  25463  27089  Day, Jennifer           Thu, Dec  3, 2010       D11-10-06 
 JB127S13924918876  Civic        2010  15489  16655  Burke, Derrick          Fri, Dec  4, 2010       D11-10-01 
 JB121S127249711X8  Civic        2010  15056  16455  Mason, Felicia          Fri, Dec  4, 2010       D11-10-02 
 JC133FU142497111X  CR-V         2010  30255  33995  Lambert, Donna          Thu, Dec  3, 2010       D11-10-04 
 JA1X3SU2924929992  Accord       2010  23081  25089  Lambert, Donna          Fri, Dec  4, 2010       D11-10-04 
 JH15AS1172495CCC4  Odyssey      2010  27318  29375  Lambert, Donna          Tue, Dec  8, 2010       D11-10-04 
 JB123H1562493AAA6  Civic        2010  24426  27600  Mason, Felicia          Sat, Dec  5, 2010       D11-10-02 
 JA1X1S1272496XXX8  Accord       2010  23125  24089  Burke, Derrick          Fri, Dec  4, 2010       D11-10-01 
 JB127S1392498223X  Civic        2010  15738  16655  Lambert, Donna          Wed, Dec  9, 2010       D11-10-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU18X3618643  Odyssey     2007  29040  45825  Burke, Derrick          Mon, Dec  7, 2010       D11-10-01 
 JB129S145X33X7535  Civic       2007  14467  23055  Mason, Felicia          Wed, Dec  9, 2010       D11-10-02 
 JH159F417XX318647  Odyssey     2007  36080  56825  Burke, Derrick          Sat, Dec  5, 2010       D11-10-01 
 JH151F11AX3282XB9  Odyssey     2007  29198  44825  Burke, Derrick          Mon, Dec  7, 2010       D11-10-01 
 JC134F310Y374B981  CR-V        2008  22874  31995  Bishop, Joann           Thu, Dec  3, 2010       D11-10-05 
 JH157F316X213A873  Odyssey     2007  29040  45825  Mason, Felicia          Fri, Dec  4, 2010       D11-10-02 
 JH158S414Y4418655  Odyssey     2008  30204  41375  Bishop, Joann           Wed, Dec  9, 2010       D11-10-05 
 JG148F114V1782XC7  Insight     2005  11745  24390  Fields, Joan            Mon, Dec  7, 2010       D11-10-03 
 JC131F115W2P29769  CR-V        2006  18798  30995  Bishop, Joann           Thu, Dec  3, 2010       D11-10-05 
 JH153FU1821P82XX1  Odyssey      2010  41675  45825  Mason, Felicia          Thu, Dec  3, 2010       D11-10-02 
 JG148F115W5P5CAA3  Insight     2006  14229  24390  Bishop, Joann           Mon, Dec  7, 2010       D11-10-05 
 JJ162FU18Y3629775  Pilot       2008  32216  44970  Bishop, Joann           Sun, Dec  6, 2010       D11-10-05 
 JC134F317W423A887  CR-V        2006  18792  31995  Lambert, Donna          Sun, Dec  6, 2010       D11-10-04 
 JE141F119X3229779  Crosstour   2007  24471  37640  Bishop, Joann           Thu, Dec  3, 2010       D11-10-05 
 JA111S134V4918671  Accord      2005  11329  22480  Bishop, Joann           Mon, Dec  7, 2010       D11-10-05 
 JH153FU1311318673  Odyssey     2009  36660  45825  Burke, Derrick          Sat, Dec  5, 2010       D11-10-01 
 JB127S133V35X7565  Civic       2005  8271   16655  Mason, Felicia          Fri, Dec  4, 2010       D11-10-02 
 JJ162FU11Y1118677  Pilot       2008  32842  44970  Burke, Derrick          Thu, Dec  3, 2010       D11-10-01 
 JH152SU10YX44B9A9  Odyssey     2008  22130  30375  Burke, Derrick          Sat, Dec  5, 2010       D11-10-01 
