Dealer Name: Ed's Honda One
Address:     7243 Lee Road
             Clarksville, NC
Dealer ID:   2
Owner:       Tipton, Ed
Date:        Mon, Dec  3, 2013 thru Sun, Dec  9, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F1135493A694  CR-Z         2013  23603  24705  Moore, Carla            Sat, Dec  8, 2013       D02-02-02 
 JB121S12854971AX6  Civic        2013  16359  16455  Shelton, Marion         Wed, Dec  5, 2013       D02-02-04 
 JG148F11A5495C8B8  Insight      2013  24187  24390  Simpson, Greg           Thu, Dec  6, 2013       D02-02-05 
 JC133FU1A549X737X  CR-V         2013  32589  33995  Shelton, Judith         Sun, Dec  9, 2013       D02-02-03 
 JB127S13454918482  Civic        2013  16376  16655  Simpson, Greg           Thu, Dec  6, 2013       D02-02-05 
 JB121S1245493A6A4  Civic        2013  16102  16455  Snyder, Pauline         Wed, Dec  5, 2013       D02-02-06 
 JB129S1465496X9X6  Civic        2013  21594  23055  Watson, Peggy           Thu, Dec  6, 2013       D02-02-01 
 JB123H15254982B28  Civic        2013  27002  27600  Simpson, Greg           Fri, Dec  7, 2013       D02-02-05 
 JH15AS11A549295AX  Odyssey      2013  26594  29375  Snyder, Pauline         Mon, Dec  3, 2013       D02-02-06 
 JB129S145549295A2  Civic        2013  22780  23055  Watson, Peggy           Thu, Dec  6, 2013       D02-02-01 
 JA114FU395494B7C4  Accord       2013  33393  33930  Moore, Carla            Fri, Dec  7, 2013       D02-02-02 
 JD139F31254982B36  CR-Z         2013  24929  25705  Shelton, Judith         Sun, Dec  9, 2013       D02-02-03 
 JJ162FU1A54918498  Pilot        2013  43134  44970  Shelton, Marion         Mon, Dec  3, 2013       D02-02-04 
 JB121S1275496X92X  Civic        2013  15588  16455  Shelton, Marion         Mon, Dec  3, 2013       D02-02-04 
 JB121S120549X7392  Civic        2013  15417  16455  Shelton, Marion         Sun, Dec  9, 2013       D02-02-04 
 JB127S1325496X924  Civic        2013  16463  16655  Shelton, Judith         Tue, Dec  4, 2013       D02-02-03 
 JB121S1255495C816  Civic        2013  15930  16455  Simpson, Greg           Tue, Dec  4, 2013       D02-02-05 
 JA119S43A5493A6C8  Accord       2013  31190  31480  Simpson, Greg           Mon, Dec  3, 2013       D02-02-05 
 JH151F111549X73AX  Odyssey      2013  41632  44825  Shelton, Marion         Sun, Dec  9, 2013       D02-02-04 
 JH153FU1A549295C2  Odyssey      2013  44640  45825  Shelton, Marion         Wed, Dec  5, 2013       D02-02-04 
 JC134F3155494B714  CR-V         2013  30056  31995  Snyder, Pauline         Fri, Dec  7, 2013       D02-02-06 
 JB122SU2A549295C6  Civic        2013  17212  17255  Snyder, Pauline         Fri, Dec  7, 2013       D02-02-06 
 JB127S1325496X938  Civic        2013  16116  16655  Watson, Peggy           Thu, Dec  6, 2013       D02-02-01 
 JB121S1265492963X  Civic        2013  16273  16455  Snyder, Pauline         Wed, Dec  5, 2013       D02-02-06 
 JB127S13154918522  Civic        2013  15770  16655  Moore, Carla            Tue, Dec  4, 2013       D02-02-02 
 JA1X1S1295494B854  Accord       2013  22163  24089  Shelton, Judith         Sun, Dec  9, 2013       D02-02-03 
 JA117S33A5494B856  Accord       2013  21377  23480  Simpson, Greg           Tue, Dec  4, 2013       D02-02-05 
 JG148F1115493A748  Insight      2013  23310  24390  Moore, Carla            Tue, Dec  4, 2013       D02-02-02 
